Tournament,surface,Date,HomeTeam,AwayTeam,score,round,Surface,FTR
Hong Kong,Hard,20240101,Andrey Rublev,Arthur Fils,6-4 1-6 6-2,QF,Hard,H
Hong Kong,Hard,20240101,Juncheng Shang,Frances Tiafoe,6-4 6-4,QF,Hard,H
Hong Kong,Hard,20240101,Sebastian Ofner,Roberto Bautista Agut,6-4 6-4,QF,Hard,H
Hong Kong,Hard,20240101,Emil Ruusuvuori,Pavel Kotov,6-3 7-6(4),QF,Hard,H
Hong Kong,Hard,20240101,Andrey Rublev,Liam Broady,6-4 7-6(8),R16,Hard,H
Hong Kong,Hard,20240101,Arthur Fils,Marc Andrea Huesler,7-5 7-5,R16,Hard,H
Hong Kong,Hard,20240101,Frances Tiafoe,Miomir Kecmanovic,6-3 7-6(4),R16,Hard,H
Hong Kong,Hard,20240101,Juncheng Shang,Botic Van De Zandschulp,6-7(5) 7-6(2) 7-6(2),R16,Hard,H
Hong Kong,Hard,20240101,Sebastian Ofner,Jan Lennard Struff,6-7(4) 7-6(5) 7-6(2),R16,Hard,H
Hong Kong,Hard,20240101,Roberto Bautista Agut,Francisco Cerundolo,7-5 6-3,R16,Hard,H
Hong Kong,Hard,20240101,Pavel Kotov,Lorenzo Musetti,6-4 6-3,R16,Hard,H
Hong Kong,Hard,20240101,Emil Ruusuvuori,Karen Khachanov,7-6(2) 2-6 6-2,R16,Hard,H
Hong Kong,Hard,20240101,Liam Broady,Pedro Cachin,6-4 6-0,R32,Hard,H
Hong Kong,Hard,20240101,Marc Andrea Huesler,Vitaliy Sachko,6-4 6-4,R32,Hard,H
Hong Kong,Hard,20240101,Arthur Fils,Borna Gojo,6-3 4-6 6-1,R32,Hard,H
Hong Kong,Hard,20240101,Miomir Kecmanovic,Taro Daniel,6-3 6-2,R32,Hard,H
Hong Kong,Hard,20240101,Botic Van De Zandschulp,Shintaro Mochizuki,7-5 6-1,R32,Hard,H
Hong Kong,Hard,20240101,Juncheng Shang,Laslo Djere,6-7(5) 6-3 7-6(8),R32,Hard,H
Hong Kong,Hard,20240101,Jan Lennard Struff,Marin Cilic,3-6 7-6(4) 7-6(7),R32,Hard,H
Hong Kong,Hard,20240101,Sebastian Ofner,Mackenzie Mcdonald,6-1 6-2,R32,Hard,H
Hong Kong,Hard,20240101,Roberto Bautista Agut,Fabian Marozsan,6-2 6-3,R32,Hard,H
Hong Kong,Hard,20240101,Lorenzo Musetti,Chak Lam Coleman Wong,6-4 7-5,R32,Hard,H
Hong Kong,Hard,20240101,Pavel Kotov,Nuno Borges,6-2 6-4,R32,Hard,H
Hong Kong,Hard,20240101,Emil Ruusuvuori,Benjamin Bonzi,6-7(5) 6-2 6-1,R32,Hard,H
Adelaide,Hard,20240108,Jiri Lehecka,Jack Draper,4-6 6-4 6-3,F,Hard,H
Adelaide,Hard,20240108,Jack Draper,Alexander Bublik,7-6(2) 6-4,SF,Hard,H
Adelaide,Hard,20240108,Jiri Lehecka,Sebastian Korda,6-2 6-1,SF,Hard,H
Adelaide,Hard,20240108,Jack Draper,Tommy Paul,6-1 6-4,QF,Hard,H
Adelaide,Hard,20240108,Alexander Bublik,Lorenzo Musetti,6-3 6-7(4) 7-5,QF,Hard,H
Adelaide,Hard,20240108,Sebastian Korda,Christopher Oconnell,6-4 6-4,QF,Hard,H
Adelaide,Hard,20240108,Jiri Lehecka,Nicolas Jarry,6-4 7-5,QF,Hard,H
Adelaide,Hard,20240108,Tommy Paul,Alex Bolt,6-3 6-2,R16,Hard,H
Adelaide,Hard,20240108,Jack Draper,Miomir Kecmanovic,5-7 7-6(9) 7-6(7),R16,Hard,H
Adelaide,Hard,20240108,Lorenzo Musetti,Jordan Thompson,6-4 6-1,R16,Hard,H
Adelaide,Hard,20240108,Alexander Bublik,Daniel Evans,4-6 6-2 6-1,R16,Hard,H
Adelaide,Hard,20240108,Christopher Oconnell,Alexander Shevchenko,6-3 6-1,R16,Hard,H
Adelaide,Hard,20240108,Sebastian Korda,Lorenzo Sonego,6-4 7-6(10),R16,Hard,H
Adelaide,Hard,20240108,Jiri Lehecka,Dusan Lajovic,7-5 4-6 6-3,R16,Hard,H
Adelaide,Hard,20240108,Nicolas Jarry,Matteo Arnaldi,6-7(5) 7-6(7) 6-4,R16,Hard,H
Adelaide,Hard,20240108,Alex Bolt,Thiago Seyboth Wild,6-3 6-2,R32,Hard,H
Adelaide,Hard,20240108,Miomir Kecmanovic,Mackenzie Mcdonald,6-4 6-2,R32,Hard,H
Adelaide,Hard,20240108,Jack Draper,Sebastian Baez,6-1 6-3,R32,Hard,H
Adelaide,Hard,20240108,Jordan Thompson,Facundo Diaz Acosta,6-2 6-2,R32,Hard,H
Adelaide,Hard,20240108,Daniel Evans,Rinky Hijikata,6-3 6-4,R32,Hard,H
Adelaide,Hard,20240108,Alexander Bublik,James Mccabe,6-2 6-3,R32,Hard,H
Adelaide,Hard,20240108,Alexander Shevchenko,Tomas Martin Etcheverry,7-6(4) 4-6 7-5,R32,Hard,H
Adelaide,Hard,20240108,Christopher Oconnell,Arthur Rinderknech,6-4 6-4,R32,Hard,H
Adelaide,Hard,20240108,Lorenzo Sonego,Yannick Hanfmann,7-5 2-6 7-6(9),R32,Hard,H
Adelaide,Hard,20240108,Jiri Lehecka,Adam Walton,6-1 6-3,R32,Hard,H
Adelaide,Hard,20240108,Dusan Lajovic,Thanasi Kokkinakis,3-6 6-1 6-4,R32,Hard,H
Adelaide,Hard,20240108,Matteo Arnaldi,Bernabe Zapata Miralles,6-4 6-3,R32,Hard,H
Auckland,Hard,20240108,Alejandro Tabilo,Taro Daniel,6-2 7-5,F,Hard,H
