Tournament,surface,Date,HomeTeam,AwayTeam,score,round,Surface,FTR
Australian Open,Hard,20240115,Santiago Fa Rodriguez Taverna,Antoine Escoffier,6-4 7-6(6),Q1,Hard,H
Australian Open,Hard,20240115,Zsombor Piros,Andrea Pellegrino,6-7(5) 6-2 6-1,Q1,Hard,H
Australian Open,Hard,20240115,Giovanni Mpetshi Perricard,Tomas Barrios Vera,6-3 7-6(8),Q1,Hard,H
Australian Open,Hard,20240115,Marc Andrea Huesler,Filip Misolic,3-6 6-4 6-3,Q1,Hard,H
Australian Open,Hard,20240115,Hugo Grenier,Mark Lajal,6-4 6-2,Q1,Hard,H
Australian Open,Hard,20240115,Maxime Cressy,Yu Hsiou Hsu,6-2 6-1,Q1,Hard,H
Australian Open,Hard,20240115,Hugo Gaston,Bu Yunchaokete,7-5 6-0,Q1,Hard,H
Australian Open,Hard,20240115,Beibit Zhukayev,Nicolas Kicker,6-1 6-4,Q1,Hard,H
Australian Open,Hard,20240115,Kyrian Jacquet,Enzo Couacaud,6-3 2-6 6-2,Q1,Hard,H
Australian Open,Hard,20240115,Lloyd Harris,Daniel Rincon,6-2 6-2,Q1,Hard,H
Australian Open,Hard,20240115,Felipe Meligeni Alves,Michael Mmoh,6-1 6-3,Q1,Hard,H
Australian Open,Hard,20240115,Jesper De Jong,Raul Brancaccio,6-1 6-2,Q1,Hard,H
Australian Open,Hard,20240115,Riccardo Bonadio,Pavle Marinkov,7-5 7-6(2),Q1,Hard,H
Australian Open,Hard,20240115,Camilo Ugo Carabelli,Hayden Jones,6-0 3-6 6-2,Q1,Hard,H
Australian Open,Hard,20240115,Francesco Passaro,Pedro Martinez,6-3 6-2,Q1,Hard,H
Australian Open,Hard,20240115,Oliver Crawford,Ilya Ivashka,6-3 3-6 6-1,Q1,Hard,H
Australian Open,Hard,20240115,Oriol Roca Batalla,Philip Sekulic,7-5 6-1,Q1,Hard,H
Australian Open,Hard,20240115,Vit Kopriva,Calvin Hemery,6-3 6-3,Q1,Hard,H
Australian Open,Hard,20240115,Aleksandar Kovacevic,Gauthier Onclin,6-3 6-7(9) 7-6(7),Q1,Hard,H
Australian Open,Hard,20240115,Vitaliy Sachko,Denis Yevseyev,6-2 7-5,Q1,Hard,H
Australian Open,Hard,20240115,Tristan Schoolkate,Sho Shimabukuro,5-7 6-4 6-3,Q1,Hard,H
Australian Open,Hard,20240115,Shintaro Mochizuki,Nicolas Moreno De Alboran,3-6 6-0 6-2,Q1,Hard,H
Australian Open,Hard,20240115,David Goffin,Stefano Travaglia,6-4 7-5,Q1,Hard,H
Australian Open,Hard,20240115,Billy Harris,Dimitar Kuzmanov,0-6 6-2 6-2,Q1,Hard,H
Australian Open,Hard,20240115,Pierre Hugues Herbert,Roman Andres Burruchaga,7-6(5) 6-7(5) 6-3,Q1,Hard,H
Australian Open,Hard,20240115,Gabriel Diallo,Pablo Llamas Ruiz,7-6(3) 6-1,Q1,Hard,H
Australian Open,Hard,20240115,Hugo Dellien,Goncalo Oliveira,6-4 6-2,Q1,Hard,H
Australian Open,Hard,20240115,Harold Mayot,Andrea Collarini,7-6(5) 6-3,Q1,Hard,H
Australian Open,Hard,20240115,Federico Gaio,Laurent Lokoli,4-6 6-4 3-2 RET,Q1,Hard,H
Australian Open,Hard,20240115,Jakub Mensik,Brandon Nakashima,6-4 7-6(4),Q1,Hard,H
Australian Open,Hard,20240115,Hamad Medjedovic,Marco Cecchinato,6-1 6-1,Q1,Hard,H
Australian Open,Hard,20240115,Abedallah Shelbayh,Titouan Droguet,6-2 6-4,Q1,Hard,H
Australian Open,Hard,20240115,Omar Jasika,Dalibor Svrcina,6-3 1-6 6-2,Q1,Hard,H
Australian Open,Hard,20240115,Zachary Svajda,Alexander Blockx,4-6 6-3 6-4,Q1,Hard,H
Australian Open,Hard,20240115,Denis Kudla,Diego Schwartzman,7-6(7) 6-4,Q1,Hard,H
Australian Open,Hard,20240115,Lukas Klein,Marco Trungelliti,6-3 3-6 6-3,Q1,Hard,H
Australian Open,Hard,20240115,Rudolf Molleker,Ivan Gakhov,6-4 6-4,Q1,Hard,H
Australian Open,Hard,20240115,Stefano Napolitano,Radu Albot,7-5 7-5,Q1,Hard,H
Australian Open,Hard,20240115,Jules Marie,Benoit Paire,7-6(6) 6-4,Q1,Hard,H
Australian Open,Hard,20240115,Alexander Ritschard,Clement Tabur,7-6(5) 6-3,Q1,Hard,H
Australian Open,Hard,20240115,Damir Dzumhur,Timofey Skatov,4-6 6-3 6-3,Q1,Hard,H
Australian Open,Hard,20240115,Giulio Zeppieri,Pablo Cuevas,6-0 6-1,Q1,Hard,H
Australian Open,Hard,20240115,Luca Nardi,Francesco Maestrelli,7-5 6-4,Q1,Hard,H
Australian Open,Hard,20240115,Dane Sweeny,Matteo Gigante,7-6(3) 7-5,Q1,Hard,H
Australian Open,Hard,20240115,Joris De Loore,Li Tu,7-6(11) 7-6(4),Q1,Hard,H
Australian Open,Hard,20240115,Zizou Bergs,Zdenek Kolar,6-2 6-2,Q1,Hard,H
Australian Open,Hard,20240115,Alex Molcan,Gijs Brouwer,6-4 6-4,Q1,Hard,H
