Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2025-01-01,FLA,CHI,3,2,H,2,1,H
2025-01-01,NYR,PIT,0,3,A,0,1,A
2025-01-01,LAK,COL,1,4,A,0,0,D
2025-01-01,TOR,MTL,5,2,H,1,1,D
2025-01-01,WSH,BOS,1,3,A,0,0,D
2025-01-01,EDM,CGY,3,3,D,2,0,H
2025-01-01,VGK,LAK,5,5,D,0,2,A
2025-01-01,BOS,CHI,4,3,H,1,1,D
2025-01-01,BUF,NYR,0,4,A,0,1,A
2025-01-01,DET,MTL,1,5,A,1,3,A
2025-01-01,TBL,OTT,4,5,A,3,1,H
2025-01-01,FLA,PHI,2,1,H,0,0,D
2025-01-01,PIT,NYI,4,3,H,1,1,D
2025-01-01,CAR,NJD,6,3,H,1,0,H
2025-01-01,STL,MIN,0,5,A,0,2,A
2025-01-01,NSH,CBJ,2,1,H,1,1,D
2025-01-01,WPG,DAL,4,5,A,1,2,A
2025-01-01,COL,UTA,2,1,H,1,0,H
2025-01-01,VAN,CGY,5,1,H,1,0,H
2025-01-01,SJS,VGK,3,4,A,1,1,D
2025-01-01,SEA,ANA,3,1,H,1,1,D
2025-01-01,WPG,LAK,3,2,H,1,0,H
2025-01-01,CGY,STL,2,4,A,1,0,H
2025-01-01,BOS,BUF,3,1,H,1,0,H
2025-01-01,DET,TOR,6,3,H,0,2,A
2025-01-01,TBL,NJD,3,5,A,0,3,A
2025-01-01,FLA,OTT,6,2,H,2,1,H
2025-01-01,NYI,WSH,2,4,A,0,2,A
2025-01-01,PIT,NYR,1,6,A,0,1,A
2025-01-01,CAR,PHI,4,3,H,0,1,A
2025-01-01,CHI,MTL,2,3,A,0,0,D
2025-01-01,NSH,UTA,2,3,A,1,1,D
2025-01-01,MIN,CBJ,4,7,A,0,1,A
2025-01-01,COL,DAL,4,4,D,0,1,A
2025-01-01,EDM,VAN,3,1,H,0,0,D
2025-01-01,SJS,ANA,6,7,A,2,2,D
2025-01-01,SEA,VGK,2,1,H,0,0,D
2025-01-01,NYR,WSH,0,1,A,0,0,D
