Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2024-01-01,VGK,OTT,6,4,H,2,3,A
2024-01-01,NJD,NYI,3,4,A,1,2,A
2024-01-01,CHI,NSH,2,3,A,1,0,H
2024-01-01,EDM,PIT,4,0,H,0,0,D
2024-01-01,BUF,DET,5,3,H,2,1,H
2024-01-01,PHI,MIN,7,5,H,2,0,H
2024-01-01,LAK,UTA,3,2,H,0,0,D
2024-01-01,BOS,TOR,4,3,H,0,0,D
2024-01-01,MTL,STL,5,2,H,1,0,H
2024-01-01,TBL,WSH,3,0,H,0,0,D
2024-01-01,NYR,ANA,2,1,H,0,0,D
2024-01-01,CGY,WPG,3,5,A,1,2,A
2024-01-01,NYI,FLA,3,6,A,3,1,H
2024-01-01,NSH,CBJ,4,3,H,0,0,D
2024-01-01,DAL,CHI,4,2,H,1,0,H
2024-01-01,VAN,PIT,4,3,H,0,1,A
2024-01-01,VGK,SJS,7,3,H,3,0,H
2024-01-01,SEA,CAR,1,4,A,0,1,A
2024-01-01,DET,EDM,2,3,A,1,0,H
2024-01-01,NJD,ANA,6,2,H,0,1,A
2024-01-01,PHI,MTL,3,4,A,1,1,D
2024-01-01,COL,OTT,5,4,H,1,0,H
2024-01-01,BUF,FLA,2,5,A,0,2,A
2024-01-01,TBL,NSH,3,2,H,2,0,H
2024-01-01,CBJ,EDM,6,1,H,3,0,H
2024-01-01,WPG,TOR,4,6,A,0,2,A
2024-01-01,COL,CHI,2,5,A,2,3,A
2024-01-01,UTA,SJS,4,5,A,2,0,H
2024-01-01,VAN,CAR,3,4,A,1,2,A
2024-01-01,VGK,CGY,5,0,H,1,0,H
2024-01-01,BOS,PHI,0,2,A,0,0,D
2024-01-01,MTL,SEA,2,8,A,1,4,A
2024-01-01,OTT,STL,8,1,H,3,0,H
2024-01-01,WSH,NYR,5,3,H,3,1,H
2024-01-01,NYI,ANA,1,3,A,0,1,A
2024-01-01,PIT,MIN,3,5,A,2,2,D
2024-01-01,SJS,LAK,4,2,H,0,0,D
2024-01-01,CBJ,NYI,2,0,H,0,0,D
2024-01-01,DET,WPG,2,6,A,0,3,A
2024-01-01,COL,TBL,2,5,A,1,3,A
2024-01-01,UTA,CGY,5,1,H,2,0,H
2024-01-01,VAN,NJD,0,6,A,0,1,A
2024-01-01,LAK,VGK,6,3,H,2,0,H
2024-01-01,TOR,SEA,4,1,H,1,0,H
2024-01-01,PHI,STL,2,1,H,1,0,H
2024-01-01,PIT,ANA,2,1,H,0,1,A
2024-01-01,WSH,MTL,6,3,H,0,0,D
2024-01-01,CAR,BOS,8,2,H,4,1,H
