Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
23/08/2024 18:30,Borussia Mönchengladbach,Bayer 04 Leverkusen,,,2 - 3
24/08/2024 13:30,1. FSV Mainz 05,1. FC Union Berlin,,,1 - 1
24/08/2024 13:30,FC Augsburg,SV Werder Bremen,,,2 - 2
24/08/2024 13:30,SC Freiburg,VfB Stuttgart,,,3 - 1
24/08/2024 13:30,TSG Hoffenheim,Holstein Kiel,,,3 - 2
24/08/2024 13:30,RB Leipzig,VfL Bochum 1848,,,1 - 0
24/08/2024 16:30,Borussia Dortmund,Eintracht Frankfurt,,,2 - 0
25/08/2024 13:30,VfL Wolfsburg,FC Bayern München,,,2 - 3
25/08/2024 15:30,FC St. Pauli,1. FC Heidenheim 1846,,,0 - 2
30/08/2024 18:30,1. FC Union Berlin,FC St. Pauli,,,1 - 0
31/08/2024 13:30,Holstein Kiel,VfL Wolfsburg,,,0 - 2
31/08/2024 13:30,VfL Bochum 1848,Borussia Mönchengladbach,,,0 - 2
31/08/2024 13:30,SV Werder Bremen,Borussia Dortmund,,,0 - 0
31/08/2024 13:30,Eintracht Frankfurt,TSG Hoffenheim,,,3 - 1
31/08/2024 13:30,VfB Stuttgart,1. FSV Mainz 05,,,3 - 3
31/08/2024 16:30,Bayer 04 Leverkusen,RB Leipzig,,,2 - 3
01/09/2024 13:30,1. FC Heidenheim 1846,FC Augsburg,,,4 - 0
01/09/2024 15:30,FC Bayern München,SC Freiburg,,,2 - 0
13/09/2024 18:30,Borussia Dortmund,1. FC Heidenheim 1846,,,4 - 2
14/09/2024 13:30,Borussia Mönchengladbach,VfB Stuttgart,,,1 - 3
14/09/2024 13:30,VfL Wolfsburg,Eintracht Frankfurt,,,1 - 2
14/09/2024 13:30,SC Freiburg,VfL Bochum 1848,,,2 - 1
14/09/2024 13:30,TSG Hoffenheim,Bayer 04 Leverkusen,,,1 - 4
14/09/2024 13:30,RB Leipzig,1. FC Union Berlin,,,0 - 0
14/09/2024 16:30,Holstein Kiel,FC Bayern München,,,1 - 6
15/09/2024 13:30,FC Augsburg,FC St. Pauli,,,3 - 1
15/09/2024 15:30,1. FSV Mainz 05,SV Werder Bremen,,,1 - 2
20/09/2024 18:30,FC Augsburg,1. FSV Mainz 05,,,2 - 3
21/09/2024 13:30,VfL Bochum 1848,Holstein Kiel,,,2 - 2
21/09/2024 13:30,1. FC Union Berlin,TSG Hoffenheim,,,2 - 1
21/09/2024 13:30,SV Werder Bremen,FC Bayern München,,,0 - 5
21/09/2024 13:30,1. FC Heidenheim 1846,SC Freiburg,,,0 - 3
21/09/2024 16:30,Eintracht Frankfurt,Borussia Mönchengladbach,,,2 - 0
22/09/2024 13:30,Bayer 04 Leverkusen,VfL Wolfsburg,,,4 - 3
22/09/2024 15:30,VfB Stuttgart,Borussia Dortmund,,,5 - 1
22/09/2024 17:30,FC St. Pauli,RB Leipzig,,,0 - 0
27/09/2024 18:30,Borussia Dortmund,VfL Bochum 1848,,,4 - 2
28/09/2024 13:30,Borussia Mönchengladbach,1. FC Union Berlin,,,1 - 0
28/09/2024 13:30,1. FSV Mainz 05,1. FC Heidenheim 1846,,,0 - 2
28/09/2024 13:30,VfL Wolfsburg,VfB Stuttgart,,,2 - 2
28/09/2024 13:30,SC Freiburg,FC St. Pauli,,,0 - 3
28/09/2024 13:30,RB Leipzig,FC Augsburg,,,4 - 0
28/09/2024 16:30,FC Bayern München,Bayer 04 Leverkusen,,,1 - 1
29/09/2024 13:30,Holstein Kiel,Eintracht Frankfurt,,,2 - 4
29/09/2024 15:30,TSG Hoffenheim,SV Werder Bremen,,,3 - 4
04/10/2024 18:30,FC Augsburg,Borussia Mönchengladbach,,,2 - 1
05/10/2024 13:30,VfL Bochum 1848,VfL Wolfsburg,,,1 - 3
05/10/2024 13:30,1. FC Union Berlin,Borussia Dortmund,,,2 - 1
05/10/2024 13:30,SV Werder Bremen,SC Freiburg,,,0 - 1
05/10/2024 13:30,Bayer 04 Leverkusen,Holstein Kiel,,,2 - 2
05/10/2024 16:30,FC St. Pauli,1. FSV Mainz 05,,,0 - 3
06/10/2024 13:30,1. FC Heidenheim 1846,RB Leipzig,,,0 - 1
06/10/2024 15:30,Eintracht Frankfurt,FC Bayern München,,,3 - 3
06/10/2024 17:30,VfB Stuttgart,TSG Hoffenheim,,,1 - 1
18/10/2024 18:30,Borussia Dortmund,FC St. Pauli,,,2 - 1
19/10/2024 13:30,Borussia Mönchengladbach,1. FC Heidenheim 1846,,,3 - 2
19/10/2024 13:30,1. FSV Mainz 05,RB Leipzig,,,0 - 2
19/10/2024 13:30,SC Freiburg,FC Augsburg,,,3 - 1
19/10/2024 13:30,TSG Hoffenheim,VfL Bochum 1848,,,3 - 1
19/10/2024 13:30,Bayer 04 Leverkusen,Eintracht Frankfurt,,,2 - 1
19/10/2024 16:30,FC Bayern München,VfB Stuttgart,,,4 - 0
20/10/2024 13:30,Holstein Kiel,1. FC Union Berlin,,,0 - 2
20/10/2024 15:30,VfL Wolfsburg,SV Werder Bremen,,,2 - 4
25/10/2024 18:30,1. FSV Mainz 05,Borussia Mönchengladbach,,,1 - 1
26/10/2024 13:30,FC St. Pauli,VfL Wolfsburg,,,0 - 0
26/10/2024 13:30,FC Augsburg,Borussia Dortmund,,,2 - 1
26/10/2024 13:30,RB Leipzig,SC Freiburg,,,3 - 1
26/10/2024 13:30,VfB Stuttgart,Holstein Kiel,,,2 - 1
26/10/2024 16:30,SV Werder Bremen,Bayer 04 Leverkusen,,,2 - 2
27/10/2024 14:30,VfL Bochum 1848,FC Bayern München,,,0 - 5
27/10/2024 16:30,1. FC Union Berlin,Eintracht Frankfurt,,,1 - 1
27/10/2024 18:30,1. FC Heidenheim 1846,TSG Hoffenheim,,,0 - 0
01/11/2024 19:30,Bayer 04 Leverkusen,VfB Stuttgart,,,0 - 0
02/11/2024 14:30,Holstein Kiel,1. FC Heidenheim 1846,,,1 - 0
02/11/2024 14:30,VfL Wolfsburg,FC Augsburg,,,1 - 1
02/11/2024 14:30,TSG Hoffenheim,FC St. Pauli,,,0 - 2
02/11/2024 14:30,Eintracht Frankfurt,VfL Bochum 1848,,,7 - 2
02/11/2024 14:30,FC Bayern München,1. FC Union Berlin,,,3 - 0
02/11/2024 17:30,Borussia Dortmund,RB Leipzig,,,2 - 1
03/11/2024 14:30,SC Freiburg,1. FSV Mainz 05,,,0 - 0
03/11/2024 16:30,Borussia Mönchengladbach,SV Werder Bremen,,,4 - 1
08/11/2024 19:30,1. FC Union Berlin,SC Freiburg,,,0 - 0
09/11/2024 14:30,FC St. Pauli,FC Bayern München,,,0 - 1
09/11/2024 14:30,VfL Bochum 1848,Bayer 04 Leverkusen,,,1 - 1
09/11/2024 14:30,1. FSV Mainz 05,Borussia Dortmund,,,3 - 1
09/11/2024 14:30,SV Werder Bremen,Holstein Kiel,,,2 - 1
09/11/2024 17:30,RB Leipzig,Borussia Mönchengladbach,,,0 - 0
10/11/2024 14:30,FC Augsburg,TSG Hoffenheim,,,0 - 0
10/11/2024 16:30,VfB Stuttgart,Eintracht Frankfurt,,,2 - 3
10/11/2024 18:30,1. FC Heidenheim 1846,VfL Wolfsburg,,,1 - 3
22/11/2024 19:30,FC Bayern München,FC Augsburg,,,3 - 0
23/11/2024 14:30,VfL Wolfsburg,1. FC Union Berlin,,,1 - 0
23/11/2024 14:30,TSG Hoffenheim,RB Leipzig,,,4 - 3
23/11/2024 14:30,Borussia Dortmund,SC Freiburg,,,4 - 0
23/11/2024 14:30,VfB Stuttgart,VfL Bochum 1848,,,2 - 0
23/11/2024 14:30,Bayer 04 Leverkusen,1. FC Heidenheim 1846,,,5 - 2
23/11/2024 17:30,Eintracht Frankfurt,SV Werder Bremen,,,1 - 0
24/11/2024 14:30,Holstein Kiel,1. FSV Mainz 05,,,0 - 3
24/11/2024 16:30,Borussia Mönchengladbach,FC St. Pauli,,,2 - 0
29/11/2024 19:30,FC St. Pauli,Holstein Kiel,,,3 - 1
30/11/2024 14:30,1. FC Union Berlin,Bayer 04 Leverkusen,,,1 - 2
30/11/2024 14:30,FC Augsburg,VfL Bochum 1848,,,1 - 0
30/11/2024 14:30,SC Freiburg,Borussia Mönchengladbach,,,3 - 1
30/11/2024 14:30,SV Werder Bremen,VfB Stuttgart,,,2 - 2
30/11/2024 14:30,RB Leipzig,VfL Wolfsburg,,,1 - 5
30/11/2024 17:30,Borussia Dortmund,FC Bayern München,,,1 - 1
