Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
01/12/2024 14:30,1. FSV Mainz 05,TSG Hoffenheim,,,2 - 0
01/12/2024 16:30,1. FC Heidenheim 1846,Eintracht Frankfurt,,,0 - 4
06/12/2024 19:30,VfB Stuttgart,1. FC Union Berlin,,,3 - 2
07/12/2024 14:30,Holstein Kiel,RB Leipzig,,,0 - 2
07/12/2024 14:30,VfL Bochum 1848,SV Werder Bremen,,,0 - 1
07/12/2024 14:30,Eintracht Frankfurt,FC Augsburg,,,2 - 2
07/12/2024 14:30,FC Bayern München,1. FC Heidenheim 1846,,,4 - 2
07/12/2024 14:30,Bayer 04 Leverkusen,FC St. Pauli,,,2 - 1
07/12/2024 17:30,Borussia Mönchengladbach,Borussia Dortmund,,,1 - 1
08/12/2024 14:30,VfL Wolfsburg,1. FSV Mainz 05,,,4 - 3
08/12/2024 16:30,TSG Hoffenheim,SC Freiburg,,,1 - 1
13/12/2024 19:30,SC Freiburg,VfL Wolfsburg,,,3 - 2
14/12/2024 14:30,1. FC Union Berlin,VfL Bochum 1848,,,1 - 1
14/12/2024 14:30,Borussia Mönchengladbach,Holstein Kiel,,,4 - 1
14/12/2024 14:30,1. FSV Mainz 05,FC Bayern München,,,2 - 1
14/12/2024 14:30,FC Augsburg,Bayer 04 Leverkusen,,,0 - 2
14/12/2024 17:30,FC St. Pauli,SV Werder Bremen,,,0 - 2
15/12/2024 14:30,1. FC Heidenheim 1846,VfB Stuttgart,,,1 - 3
15/12/2024 16:30,Borussia Dortmund,TSG Hoffenheim,,,1 - 1
15/12/2024 18:30,RB Leipzig,Eintracht Frankfurt,,,2 - 1
20/12/2024 19:30,FC Bayern München,RB Leipzig,,,5 - 1
21/12/2024 14:30,Holstein Kiel,FC Augsburg,,,5 - 1
21/12/2024 14:30,SV Werder Bremen,1. FC Union Berlin,,,4 - 1
21/12/2024 14:30,TSG Hoffenheim,Borussia Mönchengladbach,,,1 - 2
21/12/2024 14:30,Eintracht Frankfurt,1. FSV Mainz 05,,,1 - 3
21/12/2024 14:30,VfB Stuttgart,FC St. Pauli,,,0 - 1
21/12/2024 17:30,Bayer 04 Leverkusen,SC Freiburg,,,5 - 1
22/12/2024 14:30,VfL Bochum 1848,1. FC Heidenheim 1846,,,2 - 0
22/12/2024 16:30,VfL Wolfsburg,Borussia Dortmund,,,1 - 3
10/01/2025 19:30,Borussia Dortmund,Bayer 04 Leverkusen,,,2 - 3
11/01/2025 14:30,FC St. Pauli,Eintracht Frankfurt,,,0 - 1
11/01/2025 14:30,1. FSV Mainz 05,VfL Bochum 1848,,,2 - 0
11/01/2025 14:30,SC Freiburg,Holstein Kiel,,,3 - 2
11/01/2025 14:30,1. FC Heidenheim 1846,1. FC Union Berlin,,,2 - 0
11/01/2025 14:30,TSG Hoffenheim,VfL Wolfsburg,,,0 - 1
11/01/2025 17:30,Borussia Mönchengladbach,FC Bayern München,,,0 - 1
12/01/2025 14:30,RB Leipzig,SV Werder Bremen,,,4 - 2
12/01/2025 16:30,FC Augsburg,VfB Stuttgart,,,0 - 1
14/01/2025 17:30,Holstein Kiel,Borussia Dortmund,,,4 - 2
14/01/2025 19:30,VfL Wolfsburg,Borussia Mönchengladbach,,,5 - 1
14/01/2025 19:30,Eintracht Frankfurt,SC Freiburg,,,4 - 1
14/01/2025 19:30,Bayer 04 Leverkusen,1. FSV Mainz 05,,,1 - 0
15/01/2025 17:30,VfL Bochum 1848,FC St. Pauli,,,1 - 0
15/01/2025 19:30,1. FC Union Berlin,FC Augsburg,,,0 - 2
15/01/2025 19:30,SV Werder Bremen,1. FC Heidenheim 1846,,,3 - 3
15/01/2025 19:30,FC Bayern München,TSG Hoffenheim,,,5 - 0
15/01/2025 19:30,VfB Stuttgart,RB Leipzig,,,2 - 1
17/01/2025 19:30,Eintracht Frankfurt,Borussia Dortmund,,,2 - 0
18/01/2025 14:30,Holstein Kiel,TSG Hoffenheim,,,1 - 3
18/01/2025 14:30,VfL Bochum 1848,RB Leipzig,,,3 - 3
18/01/2025 14:30,1. FC Heidenheim 1846,FC St. Pauli,,,0 - 2
18/01/2025 14:30,FC Bayern München,VfL Wolfsburg,,,3 - 2
18/01/2025 14:30,VfB Stuttgart,SC Freiburg,,,4 - 0
18/01/2025 17:30,Bayer 04 Leverkusen,Borussia Mönchengladbach,,,3 - 1
19/01/2025 14:30,1. FC Union Berlin,1. FSV Mainz 05,,,2 - 1
19/01/2025 16:30,SV Werder Bremen,FC Augsburg,,,0 - 2
24/01/2025 19:30,VfL Wolfsburg,Holstein Kiel,,,2 - 2
25/01/2025 14:30,1. FSV Mainz 05,VfB Stuttgart,,,2 - 0
25/01/2025 14:30,FC Augsburg,1. FC Heidenheim 1846,,,2 - 1
25/01/2025 14:30,SC Freiburg,FC Bayern München,,,1 - 2
25/01/2025 14:30,Borussia Dortmund,SV Werder Bremen,,,2 - 2
25/01/2025 14:30,RB Leipzig,Bayer 04 Leverkusen,,,2 - 2
25/01/2025 17:30,Borussia Mönchengladbach,VfL Bochum 1848,,,3 - 0
26/01/2025 14:30,TSG Hoffenheim,Eintracht Frankfurt,,,2 - 2
26/01/2025 16:30,FC St. Pauli,1. FC Union Berlin,,,3 - 0
31/01/2025 19:30,SV Werder Bremen,1. FSV Mainz 05,,,1 - 0
01/02/2025 14:30,FC St. Pauli,FC Augsburg,,,1 - 1
01/02/2025 14:30,VfL Bochum 1848,SC Freiburg,,,0 - 1
01/02/2025 14:30,1. FC Heidenheim 1846,Borussia Dortmund,,,1 - 2
01/02/2025 14:30,FC Bayern München,Holstein Kiel,,,4 - 3
01/02/2025 14:30,VfB Stuttgart,Borussia Mönchengladbach,,,1 - 2
01/02/2025 17:30,1. FC Union Berlin,RB Leipzig,,,0 - 0
02/02/2025 14:30,Eintracht Frankfurt,VfL Wolfsburg,,,1 - 1
02/02/2025 16:30,Bayer 04 Leverkusen,TSG Hoffenheim,,,3 - 1
07/02/2025 19:30,FC Bayern München,SV Werder Bremen,,,3 - 0
08/02/2025 14:30,1. FSV Mainz 05,FC Augsburg,,,0 - 0
08/02/2025 14:30,VfL Wolfsburg,Bayer 04 Leverkusen,,,0 - 0
08/02/2025 14:30,SC Freiburg,1. FC Heidenheim 1846,,,1 - 0
08/02/2025 14:30,TSG Hoffenheim,1. FC Union Berlin,,,0 - 4
08/02/2025 14:30,Borussia Dortmund,VfB Stuttgart,,,1 - 2
08/02/2025 17:30,Borussia Mönchengladbach,Eintracht Frankfurt,,,1 - 1
09/02/2025 14:30,Holstein Kiel,VfL Bochum 1848,,,2 - 2
09/02/2025 16:30,RB Leipzig,FC St. Pauli,,,2 - 0
14/02/2025 19:30,FC Augsburg,RB Leipzig,,,0 - 0
15/02/2025 14:30,FC St. Pauli,SC Freiburg,,,0 - 1
15/02/2025 14:30,VfL Bochum 1848,Borussia Dortmund,,,2 - 0
15/02/2025 14:30,1. FC Union Berlin,Borussia Mönchengladbach,,,1 - 2
15/02/2025 14:30,VfB Stuttgart,VfL Wolfsburg,,,1 - 2
15/02/2025 17:30,Bayer 04 Leverkusen,FC Bayern München,,,0 - 0
16/02/2025 14:30,SV Werder Bremen,TSG Hoffenheim,,,1 - 3
16/02/2025 16:30,Eintracht Frankfurt,Holstein Kiel,,,3 - 1
16/02/2025 18:30,1. FC Heidenheim 1846,1. FSV Mainz 05,,,0 - 2
21/02/2025 19:30,SC Freiburg,SV Werder Bremen,,,5 - 0
22/02/2025 14:30,Holstein Kiel,Bayer 04 Leverkusen,,,0 - 2
22/02/2025 14:30,Borussia Mönchengladbach,FC Augsburg,,,0 - 3
22/02/2025 14:30,1. FSV Mainz 05,FC St. Pauli,,,2 - 0
22/02/2025 14:30,VfL Wolfsburg,VfL Bochum 1848,,,1 - 1
22/02/2025 17:30,Borussia Dortmund,1. FC Union Berlin,,,6 - 0
23/02/2025 14:30,RB Leipzig,1. FC Heidenheim 1846,,,2 - 2
23/02/2025 16:30,FC Bayern München,Eintracht Frankfurt,,,4 - 0
23/02/2025 18:30,TSG Hoffenheim,VfB Stuttgart,,,1 - 1
28/02/2025 19:30,VfB Stuttgart,FC Bayern München,,,1 - 3
01/03/2025 14:30,FC St. Pauli,Borussia Dortmund,,,0 - 2
01/03/2025 14:30,VfL Bochum 1848,TSG Hoffenheim,,,0 - 1
01/03/2025 14:30,SV Werder Bremen,VfL Wolfsburg,,,1 - 2
01/03/2025 14:30,1. FC Heidenheim 1846,Borussia Mönchengladbach,,,0 - 3
01/03/2025 14:30,RB Leipzig,1. FSV Mainz 05,,,1 - 2
01/03/2025 17:30,Eintracht Frankfurt,Bayer 04 Leverkusen,,,1 - 4
02/03/2025 14:30,1. FC Union Berlin,Holstein Kiel,,,0 - 1
02/03/2025 16:30,FC Augsburg,SC Freiburg,,,0 - 0
07/03/2025 19:30,Borussia Mönchengladbach,1. FSV Mainz 05,,,1 - 3
08/03/2025 14:30,Holstein Kiel,VfB Stuttgart,,,2 - 2
08/03/2025 14:30,VfL Wolfsburg,FC St. Pauli,,,1 - 1
08/03/2025 14:30,Borussia Dortmund,FC Augsburg,,,0 - 1
08/03/2025 14:30,FC Bayern München,VfL Bochum 1848,,,2 - 3
08/03/2025 14:30,Bayer 04 Leverkusen,SV Werder Bremen,,,0 - 2
08/03/2025 17:30,SC Freiburg,RB Leipzig,,,0 - 0
09/03/2025 14:30,Eintracht Frankfurt,1. FC Union Berlin,,,1 - 2
09/03/2025 16:30,TSG Hoffenheim,1. FC Heidenheim 1846,,,1 - 1
14/03/2025 19:30,FC St. Pauli,TSG Hoffenheim,,,1 - 0
15/03/2025 14:30,1. FC Union Berlin,FC Bayern München,,,1 - 1
15/03/2025 14:30,1. FSV Mainz 05,SC Freiburg,,,2 - 2
15/03/2025 14:30,FC Augsburg,VfL Wolfsburg,,,1 - 0
15/03/2025 14:30,SV Werder Bremen,Borussia Mönchengladbach,,,2 - 4
15/03/2025 17:30,RB Leipzig,Borussia Dortmund,,,2 - 0
16/03/2025 14:30,VfL Bochum 1848,Eintracht Frankfurt,,,1 - 3
16/03/2025 16:30,1. FC Heidenheim 1846,Holstein Kiel,,,3 - 1
16/03/2025 18:30,VfB Stuttgart,Bayer 04 Leverkusen,,,3 - 4
28/03/2025 19:30,Bayer 04 Leverkusen,VfL Bochum 1848,,,3 - 1
29/03/2025 14:30,Holstein Kiel,SV Werder Bremen,,,0 - 3
29/03/2025 14:30,Borussia Mönchengladbach,RB Leipzig,,,1 - 0
29/03/2025 14:30,VfL Wolfsburg,1. FC Heidenheim 1846,,,0 - 1
29/03/2025 14:30,TSG Hoffenheim,FC Augsburg,,,1 - 1
29/03/2025 14:30,FC Bayern München,FC St. Pauli,,,3 - 2
29/03/2025 17:30,Eintracht Frankfurt,VfB Stuttgart,,,1 - 0
30/03/2025 13:30,SC Freiburg,1. FC Union Berlin,,,1 - 2
30/03/2025 15:30,Borussia Dortmund,1. FSV Mainz 05,,,3 - 1
04/04/2025 18:30,FC Augsburg,FC Bayern München,,,1 - 3
05/04/2025 13:30,VfL Bochum 1848,VfB Stuttgart,,,0 - 4
05/04/2025 13:30,1. FSV Mainz 05,Holstein Kiel,,,1 - 1
05/04/2025 13:30,SC Freiburg,Borussia Dortmund,,,1 - 4
05/04/2025 13:30,1. FC Heidenheim 1846,Bayer 04 Leverkusen,,,0 - 1
05/04/2025 13:30,RB Leipzig,TSG Hoffenheim,,,3 - 1
05/04/2025 16:30,SV Werder Bremen,Eintracht Frankfurt,,,2 - 0
06/04/2025 13:30,FC St. Pauli,Borussia Mönchengladbach,,,1 - 1
06/04/2025 15:30,1. FC Union Berlin,VfL Wolfsburg,,,1 - 0
11/04/2025 18:30,VfL Wolfsburg,RB Leipzig,,,2 - 3
12/04/2025 13:30,Holstein Kiel,FC St. Pauli,,,1 - 2
12/04/2025 13:30,VfL Bochum 1848,FC Augsburg,,,1 - 2
12/04/2025 13:30,Borussia Mönchengladbach,SC Freiburg,,,1 - 2
12/04/2025 13:30,TSG Hoffenheim,1. FSV Mainz 05,,,2 - 0
12/04/2025 13:30,Bayer 04 Leverkusen,1. FC Union Berlin,,,0 - 0
12/04/2025 16:30,FC Bayern München,Borussia Dortmund,,,2 - 2
13/04/2025 13:30,VfB Stuttgart,SV Werder Bremen,,,1 - 2
13/04/2025 15:30,Eintracht Frankfurt,1. FC Heidenheim 1846,,,3 - 0
19/04/2025 13:30,1. FSV Mainz 05,VfL Wolfsburg,,,2 - 2
19/04/2025 13:30,SC Freiburg,TSG Hoffenheim,,,3 - 2
19/04/2025 13:30,SV Werder Bremen,VfL Bochum 1848,,,1 - 0
19/04/2025 13:30,1. FC Heidenheim 1846,FC Bayern München,,,0 - 4
19/04/2025 13:30,RB Leipzig,Holstein Kiel,,,1 - 1
19/04/2025 16:30,1. FC Union Berlin,VfB Stuttgart,,,4 - 4
20/04/2025 13:30,FC Augsburg,Eintracht Frankfurt,,,0 - 0
20/04/2025 15:30,Borussia Dortmund,Borussia Mönchengladbach,,,3 - 2
20/04/2025 17:30,FC St. Pauli,Bayer 04 Leverkusen,,,1 - 1
25/04/2025 18:30,VfB Stuttgart,1. FC Heidenheim 1846,,,0 - 1
26/04/2025 13:30,Holstein Kiel,Borussia Mönchengladbach,,,4 - 3
26/04/2025 13:30,VfL Wolfsburg,SC Freiburg,,,0 - 1
26/04/2025 13:30,TSG Hoffenheim,Borussia Dortmund,,,2 - 3
26/04/2025 13:30,FC Bayern München,1. FSV Mainz 05,,,3 - 0
26/04/2025 13:30,Bayer 04 Leverkusen,FC Augsburg,,,2 - 0
26/04/2025 16:30,Eintracht Frankfurt,RB Leipzig,,,4 - 0
27/04/2025 13:30,VfL Bochum 1848,1. FC Union Berlin,,,1 - 1
27/04/2025 15:30,SV Werder Bremen,FC St. Pauli,,,0 - 0
02/05/2025 18:30,1. FC Heidenheim 1846,VfL Bochum 1848,,,0 - 0
03/05/2025 13:30,FC St. Pauli,VfB Stuttgart,,,0 - 1
03/05/2025 13:30,1. FC Union Berlin,SV Werder Bremen,,,2 - 2
03/05/2025 13:30,Borussia Mönchengladbach,TSG Hoffenheim,,,4 - 4
03/05/2025 13:30,RB Leipzig,FC Bayern München,,,3 - 3
03/05/2025 16:30,Borussia Dortmund,VfL Wolfsburg,,,4 - 0
04/05/2025 13:30,FC Augsburg,Holstein Kiel,,,1 - 3
04/05/2025 15:30,SC Freiburg,Bayer 04 Leverkusen,,,2 - 2
04/05/2025 17:30,1. FSV Mainz 05,Eintracht Frankfurt,,,1 - 1
09/05/2025 18:30,VfL Wolfsburg,TSG Hoffenheim,,,2 - 2
10/05/2025 13:30,Holstein Kiel,SC Freiburg,,,1 - 2
10/05/2025 13:30,VfL Bochum 1848,1. FSV Mainz 05,,,1 - 4
10/05/2025 13:30,1. FC Union Berlin,1. FC Heidenheim 1846,,,0 - 3
10/05/2025 13:30,SV Werder Bremen,RB Leipzig,,,0 - 0
10/05/2025 16:30,FC Bayern München,Borussia Mönchengladbach,,,2 - 0
11/05/2025 13:30,Bayer 04 Leverkusen,Borussia Dortmund,,,2 - 4
11/05/2025 15:30,Eintracht Frankfurt,FC St. Pauli,,,2 - 2
11/05/2025 17:30,VfB Stuttgart,FC Augsburg,,,4 - 0
17/05/2025 13:30,FC St. Pauli,VfL Bochum 1848,,,0 - 2
17/05/2025 13:30,Borussia Mönchengladbach,VfL Wolfsburg,,,0 - 1
17/05/2025 13:30,1. FSV Mainz 05,Bayer 04 Leverkusen,,,2 - 2
17/05/2025 13:30,FC Augsburg,1. FC Union Berlin,,,1 - 2
17/05/2025 13:30,SC Freiburg,Eintracht Frankfurt,,,1 - 3
17/05/2025 13:30,1. FC Heidenheim 1846,SV Werder Bremen,,,1 - 4
17/05/2025 13:30,TSG Hoffenheim,FC Bayern München,,,0 - 4
17/05/2025 13:30,Borussia Dortmund,Holstein Kiel,,,3 - 0
17/05/2025 13:30,RB Leipzig,VfB Stuttgart,,,2 - 3
