Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
29/09/2024 13:00,Roma,Venezia,,,2 - 1
29/09/2024 13:00,Como,Hellas Verona,,,3 - 2
29/09/2024 16:00,Empoli,Fiorentina,,,0 - 0
29/09/2024 18:45,Napoli,Monza,,,2 - 0
30/09/2024 18:45,Parma,Cagliari,,,2 - 3
04/10/2024 16:30,Napoli,Como,,,3 - 1
04/10/2024 18:45,Hellas Verona,Venezia,,,2 - 1
05/10/2024 13:00,Udinese,Lecce,,,1 - 0
05/10/2024 16:00,Atalanta,Genoa,,,5 - 1
05/10/2024 18:45,Inter,Torino,,,3 - 2
06/10/2024 10:30,Juventus,Cagliari,,,1 - 1
06/10/2024 13:00,Bologna,Parma,,,0 - 0
06/10/2024 13:00,Lazio,Empoli,,,2 - 1
06/10/2024 16:00,Monza,Roma,,,1 - 1
06/10/2024 18:45,Fiorentina,Milan,,,2 - 1
19/10/2024 13:00,Como,Parma,,,1 - 1
19/10/2024 13:00,Genoa,Bologna,,,2 - 2
19/10/2024 16:00,Milan,Udinese,,,1 - 0
19/10/2024 18:45,Juventus,Lazio,,,1 - 0
20/10/2024 10:30,Empoli,Napoli,,,0 - 1
20/10/2024 13:00,Lecce,Fiorentina,,,0 - 6
20/10/2024 13:00,Venezia,Atalanta,,,0 - 2
20/10/2024 16:00,Cagliari,Torino,,,3 - 2
20/10/2024 18:45,Roma,Inter,,,0 - 1
21/10/2024 18:45,Hellas Verona,Monza,,,0 - 3
25/10/2024 16:30,Udinese,Cagliari,,,2 - 0
25/10/2024 18:45,Torino,Como,,,1 - 0
26/10/2024 13:00,Napoli,Lecce,,,1 - 0
26/10/2024 18:45,Atalanta,Hellas Verona,,,6 - 1
27/10/2024 11:30,Parma,Empoli,,,1 - 1
27/10/2024 14:00,Lazio,Genoa,,,3 - 0
27/10/2024 14:00,Monza,Venezia,,,2 - 2
27/10/2024 17:00,Inter,Juventus,,,4 - 4
27/10/2024 19:45,Fiorentina,Roma,,,5 - 1
27/02/2025 19:45,Bologna,Milan,,,2 - 1
29/10/2024 17:30,Cagliari,Bologna,,,0 - 2
29/10/2024 17:30,Lecce,Hellas Verona,,,1 - 0
29/10/2024 19:45,Milan,Napoli,,,0 - 2
30/10/2024 17:30,Empoli,Inter,,,0 - 3
30/10/2024 17:30,Venezia,Udinese,,,3 - 2
30/10/2024 19:45,Atalanta,Monza,,,2 - 0
30/10/2024 19:45,Juventus,Parma,,,2 - 2
31/10/2024 17:30,Genoa,Fiorentina,,,0 - 1
31/10/2024 19:45,Como,Lazio,,,1 - 5
31/10/2024 19:45,Roma,Torino,,,1 - 0
02/11/2024 14:00,Bologna,Lecce,,,1 - 0
02/11/2024 17:00,Udinese,Juventus,,,0 - 2
02/11/2024 19:45,Monza,Milan,,,0 - 1
03/11/2024 11:30,Napoli,Atalanta,,,0 - 3
03/11/2024 14:00,Torino,Fiorentina,,,0 - 1
03/11/2024 17:00,Hellas Verona,Roma,,,3 - 2
03/11/2024 19:45,Inter,Venezia,,,1 - 0
04/11/2024 17:30,Empoli,Como,,,1 - 0
04/11/2024 17:30,Parma,Genoa,,,0 - 1
04/11/2024 19:45,Lazio,Cagliari,,,2 - 1
07/11/2024 19:45,Genoa,Como,,,1 - 1
08/11/2024 19:45,Lecce,Empoli,,,1 - 1
09/11/2024 14:00,Venezia,Parma,,,1 - 2
09/11/2024 17:00,Cagliari,Milan,,,3 - 3
09/11/2024 19:45,Juventus,Torino,,,2 - 0
10/11/2024 11:30,Atalanta,Udinese,,,2 - 1
10/11/2024 14:00,Fiorentina,Hellas Verona,,,3 - 1
10/11/2024 14:00,Roma,Bologna,,,2 - 3
10/11/2024 17:00,Monza,Lazio,,,0 - 1
10/11/2024 19:45,Inter,Napoli,,,1 - 1
23/11/2024 14:00,Hellas Verona,Inter,,,0 - 5
23/11/2024 17:00,Milan,Juventus,,,0 - 0
23/11/2024 19:45,Parma,Atalanta,,,1 - 3
24/11/2024 11:30,Genoa,Cagliari,,,2 - 2
24/11/2024 14:00,Como,Fiorentina,,,0 - 2
24/11/2024 14:00,Torino,Monza,,,1 - 1
24/11/2024 17:00,Napoli,Roma,,,1 - 0
24/11/2024 19:45,Lazio,Bologna,,,3 - 0
25/11/2024 17:30,Empoli,Udinese,,,1 - 1
25/11/2024 19:45,Venezia,Lecce,,,0 - 1
29/11/2024 19:45,Cagliari,Hellas Verona,,,1 - 0
30/11/2024 14:00,Como,Monza,,,1 - 1
30/11/2024 17:00,Milan,Empoli,,,3 - 0
30/11/2024 19:45,Bologna,Venezia,,,3 - 0
01/12/2024 11:30,Udinese,Genoa,,,0 - 2
01/12/2024 14:00,Parma,Lazio,,,3 - 1
01/12/2024 14:00,Torino,Napoli,,,0 - 1
01/12/2024 19:45,Lecce,Juventus,,,1 - 1
02/12/2024 19:45,Roma,Atalanta,,,0 - 2
06/02/2025 19:45,Fiorentina,Inter,,,3 - 0
06/12/2024 17:30,Inter,Parma,,,3 - 1
06/12/2024 19:45,Atalanta,Milan,,,2 - 1
07/12/2024 14:00,Genoa,Torino,,,0 - 0
07/12/2024 17:00,Juventus,Bologna,,,2 - 2
07/12/2024 19:45,Roma,Lecce,,,4 - 1
08/12/2024 11:30,Fiorentina,Cagliari,,,1 - 0
08/12/2024 14:00,Hellas Verona,Empoli,,,1 - 4
08/12/2024 17:00,Venezia,Como,,,2 - 2
08/12/2024 19:45,Napoli,Lazio,,,0 - 1
09/12/2024 19:45,Monza,Udinese,,,1 - 2
13/12/2024 19:45,Empoli,Torino,,,0 - 1
14/12/2024 14:00,Cagliari,Atalanta,,,0 - 1
14/12/2024 17:00,Udinese,Napoli,,,1 - 3
14/12/2024 19:45,Juventus,Venezia,,,2 - 2
15/12/2024 11:30,Lecce,Monza,,,2 - 1
15/12/2024 14:00,Bologna,Fiorentina,,,1 - 0
15/12/2024 14:00,Parma,Hellas Verona,,,2 - 3
15/12/2024 17:00,Como,Roma,,,2 - 0
15/12/2024 19:45,Milan,Genoa,,,0 - 0
16/12/2024 19:45,Lazio,Inter,,,0 - 6
20/12/2024 19:45,Hellas Verona,Milan,,,0 - 1
21/12/2024 14:00,Torino,Bologna,,,0 - 2
21/12/2024 17:00,Genoa,Napoli,,,1 - 2
21/12/2024 19:45,Lecce,Lazio,,,1 - 2
22/12/2024 11:30,Roma,Parma,,,5 - 0
22/12/2024 14:00,Venezia,Cagliari,,,2 - 1
22/12/2024 17:00,Atalanta,Empoli,,,3 - 2
22/12/2024 19:45,Monza,Juventus,,,1 - 2
23/12/2024 17:30,Fiorentina,Udinese,,,1 - 2
23/12/2024 19:45,Inter,Como,,,2 - 0
28/12/2024 14:00,Empoli,Genoa,,,1 - 2
28/12/2024 14:00,Parma,Monza,,,2 - 1
28/12/2024 17:00,Cagliari,Inter,,,0 - 3
28/12/2024 19:45,Lazio,Atalanta,,,1 - 1
29/12/2024 11:30,Udinese,Torino,,,2 - 2
29/12/2024 14:00,Napoli,Venezia,,,1 - 0
29/12/2024 17:00,Juventus,Fiorentina,,,2 - 2
29/12/2024 19:45,Milan,Roma,,,1 - 1
30/12/2024 17:30,Como,Lecce,,,2 - 0
30/12/2024 19:45,Bologna,Hellas Verona,,,2 - 3
04/01/2025 14:00,Venezia,Empoli,,,1 - 1
04/01/2025 17:00,Fiorentina,Napoli,,,0 - 3
04/01/2025 19:45,Hellas Verona,Udinese,,,0 - 0
05/01/2025 11:30,Monza,Cagliari,,,1 - 2
05/01/2025 14:00,Lecce,Genoa,,,0 - 0
05/01/2025 17:00,Torino,Parma,,,0 - 0
05/01/2025 19:45,Roma,Lazio,,,2 - 0
14/01/2025 17:30,Como,Milan,,,1 - 2
14/01/2025 19:45,Atalanta,Juventus,,,1 - 1
15/01/2025 19:45,Inter,Bologna,,,2 - 2
10/01/2025 19:45,Lazio,Como,,,1 - 1
11/01/2025 14:00,Empoli,Lecce,,,1 - 3
11/01/2025 14:00,Udinese,Atalanta,,,0 - 0
11/01/2025 17:00,Torino,Juventus,,,1 - 1
11/01/2025 19:45,Milan,Cagliari,,,1 - 1
12/01/2025 11:30,Genoa,Parma,,,1 - 0
12/01/2025 14:00,Venezia,Inter,,,0 - 1
12/01/2025 17:00,Bologna,Roma,,,2 - 2
12/01/2025 19:45,Napoli,Hellas Verona,,,2 - 0
13/01/2025 19:45,Monza,Fiorentina,,,2 - 1
17/01/2025 19:45,Roma,Genoa,,,3 - 1
18/01/2025 14:00,Bologna,Monza,,,3 - 1
18/01/2025 17:00,Juventus,Milan,,,2 - 0
18/01/2025 19:45,Atalanta,Napoli,,,2 - 3
19/01/2025 11:30,Fiorentina,Torino,,,1 - 1
19/01/2025 14:00,Cagliari,Lecce,,,4 - 1
19/01/2025 14:00,Parma,Venezia,,,1 - 1
19/01/2025 17:00,Hellas Verona,Lazio,,,0 - 3
19/01/2025 19:45,Inter,Empoli,,,3 - 1
20/01/2025 19:45,Como,Udinese,,,4 - 1
24/01/2025 19:45,Torino,Cagliari,,,2 - 0
25/01/2025 14:00,Como,Atalanta,,,1 - 2
25/01/2025 17:00,Napoli,Juventus,,,2 - 1
25/01/2025 19:45,Empoli,Bologna,,,1 - 1
26/01/2025 11:30,Milan,Parma,,,3 - 2
26/01/2025 14:00,Udinese,Roma,,,1 - 2
26/01/2025 17:00,Lecce,Inter,,,0 - 4
26/01/2025 19:45,Lazio,Fiorentina,,,1 - 2
27/01/2025 17:30,Venezia,Hellas Verona,,,1 - 1
27/01/2025 19:45,Genoa,Monza,,,2 - 0
31/01/2025 19:45,Parma,Lecce,,,1 - 3
01/02/2025 14:00,Udinese,Venezia,,,3 - 2
01/02/2025 14:00,Monza,Hellas Verona,,,0 - 1
01/02/2025 17:00,Atalanta,Torino,,,1 - 1
01/02/2025 19:45,Bologna,Como,,,2 - 0
02/02/2025 11:30,Juventus,Empoli,,,4 - 1
02/02/2025 14:00,Fiorentina,Genoa,,,2 - 1
02/02/2025 17:00,Milan,Inter,,,1 - 1
02/02/2025 19:45,Roma,Napoli,,,1 - 1
03/02/2025 19:45,Cagliari,Lazio,,,1 - 2
07/02/2025 19:45,Como,Juventus,,,1 - 2
08/02/2025 14:00,Hellas Verona,Atalanta,,,0 - 5
08/02/2025 17:00,Empoli,Milan,,,0 - 2
08/02/2025 19:45,Torino,Genoa,,,1 - 1
09/02/2025 11:30,Venezia,Roma,,,0 - 1
09/02/2025 14:00,Cagliari,Parma,,,2 - 1
09/02/2025 14:00,Lazio,Monza,,,5 - 1
09/02/2025 17:00,Lecce,Bologna,,,0 - 0
09/02/2025 19:45,Napoli,Udinese,,,1 - 1
10/02/2025 19:45,Inter,Fiorentina,,,2 - 1
14/02/2025 19:45,Bologna,Torino,,,3 - 2
15/02/2025 14:00,Atalanta,Cagliari,,,0 - 0
15/02/2025 17:00,Lazio,Napoli,,,2 - 2
15/02/2025 19:45,Milan,Hellas Verona,,,1 - 0
16/02/2025 11:30,Fiorentina,Como,,,0 - 2
16/02/2025 14:00,Monza,Lecce,,,0 - 0
16/02/2025 14:00,Udinese,Empoli,,,3 - 0
16/02/2025 17:00,Parma,Roma,,,0 - 1
16/02/2025 19:45,Juventus,Inter,,,1 - 0
17/02/2025 19:45,Genoa,Venezia,,,2 - 0
21/02/2025 19:45,Lecce,Udinese,,,0 - 1
22/02/2025 14:00,Parma,Bologna,,,2 - 0
22/02/2025 14:00,Venezia,Lazio,,,0 - 0
22/02/2025 17:00,Torino,Milan,,,2 - 1
22/02/2025 19:45,Inter,Genoa,,,1 - 0
23/02/2025 11:30,Como,Napoli,,,2 - 1
23/02/2025 14:00,Hellas Verona,Fiorentina,,,1 - 0
23/02/2025 17:00,Empoli,Atalanta,,,0 - 5
23/02/2025 19:45,Cagliari,Juventus,,,0 - 1
24/02/2025 19:45,Roma,Monza,,,4 - 0
28/02/2025 19:45,Fiorentina,Lecce,,,1 - 0
01/03/2025 14:00,Atalanta,Venezia,,,0 - 0
01/03/2025 17:00,Napoli,Inter,,,1 - 1
01/03/2025 19:45,Udinese,Parma,,,1 - 0
02/03/2025 11:30,Monza,Torino,,,0 - 2
02/03/2025 14:00,Bologna,Cagliari,,,2 - 1
02/03/2025 14:00,Genoa,Empoli,,,1 - 1
02/03/2025 17:00,Roma,Como,,,2 - 1
02/03/2025 19:45,Milan,Lazio,,,1 - 2
03/03/2025 19:45,Juventus,Hellas Verona,,,2 - 0
07/03/2025 19:45,Cagliari,Genoa,,,1 - 1
08/03/2025 14:00,Como,Venezia,,,1 - 1
08/03/2025 14:00,Parma,Torino,,,2 - 2
08/03/2025 17:00,Lecce,Milan,,,2 - 3
08/03/2025 19:45,Inter,Monza,,,3 - 2
09/03/2025 11:30,Hellas Verona,Bologna,,,1 - 2
09/03/2025 14:00,Napoli,Fiorentina,,,2 - 1
09/03/2025 17:00,Empoli,Roma,,,0 - 1
09/03/2025 19:45,Juventus,Atalanta,,,0 - 4
10/03/2025 19:45,Lazio,Udinese,,,1 - 1
14/03/2025 19:45,Genoa,Lecce,,,2 - 1
15/03/2025 14:00,Monza,Parma,,,1 - 1
15/03/2025 14:00,Udinese,Hellas Verona,,,0 - 1
15/03/2025 17:00,Milan,Como,,,2 - 1
15/03/2025 19:45,Torino,Empoli,,,1 - 0
16/03/2025 11:30,Venezia,Napoli,,,0 - 0
16/03/2025 14:00,Bologna,Lazio,,,5 - 0
16/03/2025 15:00,Roma,Cagliari,,,1 - 0
16/03/2025 17:00,Fiorentina,Juventus,,,3 - 0
16/03/2025 19:45,Atalanta,Inter,,,0 - 2
29/03/2025 14:00,Como,Empoli,,,1 - 1
29/03/2025 14:00,Venezia,Bologna,,,0 - 1
29/03/2025 17:00,Juventus,Genoa,,,1 - 0
29/03/2025 19:45,Lecce,Roma,,,0 - 1
30/03/2025 10:30,Cagliari,Monza,,,3 - 0
30/03/2025 13:00,Fiorentina,Atalanta,,,1 - 0
30/03/2025 16:00,Inter,Udinese,,,2 - 1
30/03/2025 18:45,Napoli,Milan,,,2 - 1
31/03/2025 16:30,Hellas Verona,Parma,,,0 - 0
31/03/2025 18:45,Lazio,Torino,,,1 - 1
04/04/2025 18:45,Genoa,Udinese,,,1 - 0
05/04/2025 13:00,Monza,Como,,,1 - 3
05/04/2025 16:00,Parma,Inter,,,2 - 2
05/04/2025 18:45,Milan,Fiorentina,,,2 - 2
06/04/2025 10:30,Lecce,Venezia,,,1 - 1
06/04/2025 13:00,Empoli,Cagliari,,,0 - 0
06/04/2025 13:00,Torino,Hellas Verona,,,1 - 1
06/04/2025 16:00,Atalanta,Lazio,,,0 - 1
06/04/2025 18:45,Roma,Juventus,,,1 - 1
07/04/2025 18:45,Bologna,Napoli,,,1 - 1
11/04/2025 18:45,Udinese,Milan,,,0 - 4
12/04/2025 13:00,Venezia,Monza,,,0 - 0
12/04/2025 16:00,Inter,Cagliari,,,3 - 1
12/04/2025 18:45,Juventus,Lecce,,,2 - 1
13/04/2025 10:30,Atalanta,Bologna,,,2 - 0
13/04/2025 13:00,Hellas Verona,Genoa,,,0 - 0
13/04/2025 13:00,Fiorentina,Parma,,,0 - 0
13/04/2025 16:00,Como,Torino,,,1 - 0
13/04/2025 18:45,Lazio,Roma,,,1 - 1
14/04/2025 18:45,Napoli,Empoli,,,3 - 0
19/04/2025 13:00,Lecce,Como,,,0 - 3
19/04/2025 16:00,Monza,Napoli,,,0 - 1
19/04/2025 18:45,Roma,Hellas Verona,,,1 - 0
20/04/2025 13:00,Empoli,Venezia,,,2 - 2
20/04/2025 16:00,Bologna,Inter,,,1 - 0
20/04/2025 18:45,Milan,Atalanta,,,0 - 1
23/04/2025 16:30,Cagliari,Fiorentina,,,1 - 2
23/04/2025 16:30,Genoa,Lazio,,,0 - 2
23/04/2025 16:30,Parma,Juventus,,,1 - 0
23/04/2025 16:30,Torino,Udinese,,,2 - 0
27/04/2025 10:30,Como,Genoa,,,1 - 0
27/04/2025 10:30,Venezia,Milan,,,0 - 2
27/04/2025 13:00,Fiorentina,Empoli,,,2 - 1
27/04/2025 13:00,Inter,Roma,,,0 - 1
27/04/2025 16:00,Juventus,Monza,,,2 - 0
27/04/2025 18:45,Atalanta,Lecce,,,1 - 1
27/04/2025 18:45,Napoli,Torino,,,2 - 0
28/04/2025 16:30,Udinese,Bologna,,,0 - 0
28/04/2025 18:45,Lazio,Parma,,,2 - 2
28/04/2025 18:45,Hellas Verona,Cagliari,,,0 - 2
02/05/2025 18:45,Torino,Venezia,,,1 - 1
03/05/2025 13:00,Cagliari,Udinese,,,1 - 2
03/05/2025 13:00,Parma,Como,,,0 - 1
03/05/2025 16:00,Lecce,Napoli,,,0 - 1
03/05/2025 18:45,Inter,Hellas Verona,,,1 - 0
04/05/2025 10:30,Empoli,Lazio,,,0 - 1
04/05/2025 13:00,Monza,Atalanta,,,0 - 4
04/05/2025 16:00,Roma,Fiorentina,,,1 - 0
04/05/2025 18:45,Bologna,Juventus,,,1 - 1
05/05/2025 18:45,Genoa,Milan,,,1 - 2
09/05/2025 18:45,Milan,Bologna,,,3 - 1
10/05/2025 13:00,Como,Cagliari,,,3 - 1
10/05/2025 16:00,Lazio,Juventus,,,1 - 1
10/05/2025 18:45,Empoli,Parma,,,2 - 1
11/05/2025 10:30,Udinese,Monza,,,1 - 2
11/05/2025 13:00,Hellas Verona,Lecce,,,1 - 1
11/05/2025 16:00,Torino,Inter,,,0 - 2
11/05/2025 18:45,Napoli,Genoa,,,2 - 2
12/05/2025 16:30,Venezia,Fiorentina,,,2 - 1
12/05/2025 18:45,Atalanta,Roma,,,2 - 1
17/05/2025 18:45,Genoa,Atalanta,,,2 - 3
18/05/2025 18:45,Cagliari,Venezia,,,3 - 0
18/05/2025 18:45,Fiorentina,Bologna,,,3 - 2
18/05/2025 18:45,Inter,Lazio,,,2 - 2
18/05/2025 18:45,Juventus,Udinese,,,2 - 0
18/05/2025 18:45,Lecce,Torino,,,1 - 0
18/05/2025 18:45,Monza,Empoli,,,1 - 3
18/05/2025 18:45,Parma,Napoli,,,0 - 0
18/05/2025 18:45,Roma,Milan,,,3 - 1
18/05/2025 18:45,Hellas Verona,Como,,,1 - 1
23/05/2025 18:45,Como,Inter,,,0 - 2
23/05/2025 18:45,Napoli,Cagliari,,,2 - 0
24/05/2025 16:00,Bologna,Genoa,,,1 - 3
24/05/2025 18:45,Milan,Monza,,,2 - 0
25/05/2025 18:45,Atalanta,Parma,,,2 - 3
25/05/2025 18:45,Empoli,Hellas Verona,,,1 - 2
25/05/2025 18:45,Lazio,Lecce,,,0 - 1
25/05/2025 18:45,Torino,Roma,,,0 - 2
25/05/2025 18:45,Udinese,Fiorentina,,,2 - 3
25/05/2025 18:45,Venezia,Juventus,,,2 - 3
