Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
17/08/2024 16:30,Genoa,Inter,,,2 - 2
17/08/2024 16:30,Parma,Fiorentina,,,1 - 1
17/08/2024 18:45,Empoli,Monza,,,0 - 0
17/08/2024 18:45,Milan,Torino,,,2 - 2
18/08/2024 16:30,Bologna,Udinese,,,1 - 1
18/08/2024 16:30,Hellas Verona,Napoli,,,3 - 0
18/08/2024 18:45,Cagliari,Roma,,,0 - 0
18/08/2024 18:45,Lazio,Venezia,,,3 - 1
19/08/2024 16:30,Lecce,Atalanta,,,0 - 4
19/08/2024 18:45,Juventus,Como,,,3 - 0
24/08/2024 16:30,Parma,Milan,,,2 - 1
24/08/2024 16:30,Udinese,Lazio,,,2 - 1
24/08/2024 18:45,Inter,Lecce,,,2 - 0
24/08/2024 18:45,Monza,Genoa,,,0 - 1
25/08/2024 16:30,Torino,Atalanta,,,2 - 1
25/08/2024 16:30,Fiorentina,Venezia,,,0 - 0
25/08/2024 18:45,Napoli,Bologna,,,3 - 0
25/08/2024 18:45,Roma,Empoli,,,1 - 2
26/08/2024 16:30,Cagliari,Como,,,1 - 1
26/08/2024 18:45,Hellas Verona,Juventus,,,0 - 3
30/08/2024 16:30,Venezia,Torino,,,0 - 1
30/08/2024 18:45,Inter,Atalanta,,,4 - 0
31/08/2024 16:30,Bologna,Empoli,,,1 - 1
31/08/2024 16:30,Lecce,Cagliari,,,1 - 0
31/08/2024 18:45,Lazio,Milan,,,2 - 2
31/08/2024 18:45,Napoli,Parma,,,2 - 1
01/09/2024 16:30,Fiorentina,Monza,,,2 - 2
01/09/2024 16:30,Genoa,Hellas Verona,,,0 - 2
01/09/2024 18:45,Juventus,Roma,,,0 - 0
01/09/2024 18:45,Udinese,Como,,,1 - 0
14/09/2024 13:00,Como,Bologna,,,2 - 2
14/09/2024 16:00,Empoli,Juventus,,,0 - 0
14/09/2024 18:45,Milan,Venezia,,,4 - 0
15/09/2024 10:30,Genoa,Roma,,,1 - 1
15/09/2024 13:00,Atalanta,Fiorentina,,,3 - 2
15/09/2024 13:00,Torino,Lecce,,,0 - 0
15/09/2024 16:00,Cagliari,Napoli,,,0 - 4
15/09/2024 18:45,Monza,Inter,,,1 - 1
16/09/2024 16:30,Parma,Udinese,,,2 - 3
16/09/2024 18:45,Lazio,Hellas Verona,,,2 - 1
20/09/2024 16:30,Cagliari,Empoli,,,0 - 2
20/09/2024 18:45,Hellas Verona,Torino,,,2 - 3
21/09/2024 13:00,Venezia,Genoa,,,2 - 0
21/09/2024 16:00,Juventus,Napoli,,,0 - 0
21/09/2024 18:45,Lecce,Parma,,,2 - 2
22/09/2024 10:30,Fiorentina,Lazio,,,2 - 1
22/09/2024 13:00,Monza,Bologna,,,1 - 2
22/09/2024 16:00,Roma,Udinese,,,3 - 0
22/09/2024 18:45,Inter,Milan,,,1 - 2
24/09/2024 18:45,Atalanta,Como,,,2 - 3
27/09/2024 18:45,Milan,Lecce,,,3 - 0
28/09/2024 13:00,Udinese,Inter,,,2 - 3
28/09/2024 16:00,Genoa,Juventus,,,0 - 3
28/09/2024 18:45,Bologna,Atalanta,,,1 - 1
29/09/2024 10:30,Torino,Lazio,,,2 - 3
