Date,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
02/04/2025 20:10,Houston Astros,San Francisco Giants,3,6,A
02/04/2025 20:40,Miami Marlins,New York Mets,5,6,A
02/04/2025 22:35,Baltimore Orioles,Boston Red Sox,0,3,A
02/04/2025 22:45,Philadelphia Phillies,Colorado Rockies,5,1,H
02/04/2025 23:05,New York Yankees,Arizona Diamondbacks,3,4,A
03/04/2025 00:38,Los Angeles Dodgers,Atlanta Braves,6,5,H
03/04/2025 17:05,Baltimore Orioles,Boston Red Sox,4,8,A
03/04/2025 17:05,Philadelphia Phillies,Colorado Rockies,3,1,H
03/04/2025 20:10,Minnesota Twins,Houston Astros,2,5,A
03/04/2025 23:05,New York Yankees,Arizona Diamondbacks,9,7,H
03/04/2025 23:40,Milwaukee Brewers,Cincinnati Reds,1,0,H
04/04/2025 17:10,Detroit Tigers,Chicago White Sox,7,4,H
04/04/2025 18:10,Boston Red Sox,St. Louis Cardinals,13,9,H
04/04/2025 18:20,Chicago Cubs,San Diego Padres,3,1,H
04/04/2025 19:10,New York Mets,Toronto Blue Jays,5,0,H
04/04/2025 20:10,Colorado Rockies,Athletics,3,6,A
04/04/2025 20:12,Pittsburgh Pirates,New York Yankees,4,9,A
04/04/2025 20:35,San Francisco Giants,Seattle Mariners,10,9,H
04/04/2025 22:45,Washington Nationals,Arizona Diamondbacks,4,6,A
04/04/2025 22:45,Philadelphia Phillies,Los Angeles Dodgers,3,2,H
04/04/2025 23:15,Atlanta Braves,Miami Marlins,10,0,H
04/04/2025 23:40,Kansas City Royals,Baltimore Orioles,8,2,H
05/04/2025 00:05,Texas Rangers,Tampa Bay Rays,5,2,H
05/04/2025 00:10,Milwaukee Brewers,Cincinnati Reds,3,2,H
05/04/2025 01:38,Los Angeles Angels,Cleveland Guardians,6,8,A
05/04/2025 17:10,Detroit Tigers,Chicago White Sox,7,2,H
05/04/2025 18:10,Minnesota Twins,Houston Astros,6,1,H
05/04/2025 18:20,Chicago Cubs,San Diego Padres,7,1,H
05/04/2025 20:05,Washington Nationals,Arizona Diamondbacks,4,3,H
05/04/2025 20:05,Philadelphia Phillies,Los Angeles Dodgers,1,3,A
