Date,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
26/04/2025 17:10,Cleveland Guardians,Boston Red Sox,5,4,H
26/04/2025 17:10,Detroit Tigers,Baltimore Orioles,4,3,H
26/04/2025 18:10,Minnesota Twins,Los Angeles Angels,5,1,H
26/04/2025 18:15,St. Louis Cardinals,Milwaukee Brewers,6,5,H
26/04/2025 19:10,Colorado Rockies,Cincinnati Reds,4,6,A
26/04/2025 20:05,Washington Nationals,New York Mets,0,2,A
26/04/2025 20:05,San Francisco Giants,Texas Rangers,3,2,H
26/04/2025 20:05,Chicago Cubs,Philadelphia Phillies,4,10,A
26/04/2025 20:05,Athletics,Chicago White Sox,3,10,A
26/04/2025 22:10,Detroit Tigers,Baltimore Orioles,6,2,H
26/04/2025 22:10,Cleveland Guardians,Boston Red Sox,3,7,A
26/04/2025 23:10,Kansas City Royals,Houston Astros,2,0,H
27/04/2025 00:10,Arizona Diamondbacks,Atlanta Braves,7,8,A
27/04/2025 00:40,San Diego Padres,Tampa Bay Rays,1,4,A
27/04/2025 01:10,Los Angeles Dodgers,Pittsburgh Pirates,8,4,H
27/04/2025 01:40,Seattle Mariners,Miami Marlins,14,0,H
27/04/2025 17:35,Washington Nationals,New York Mets,8,7,H
27/04/2025 17:35,New York Yankees,Toronto Blue Jays,11,2,H
27/04/2025 17:40,New York Yankees,Toronto Blue Jays,5,1,H
27/04/2025 17:40,Cleveland Guardians,Boston Red Sox,3,13,A
27/04/2025 17:40,Detroit Tigers,Baltimore Orioles,7,0,H
27/04/2025 17:40,Minnesota Twins,Los Angeles Angels,5,0,H
27/04/2025 18:10,Kansas City Royals,Houston Astros,3,7,A
27/04/2025 18:15,St. Louis Cardinals,Milwaukee Brewers,1,7,A
27/04/2025 19:10,Colorado Rockies,Cincinnati Reds,1,8,A
27/04/2025 20:05,San Francisco Giants,Texas Rangers,3,2,H
27/04/2025 20:05,Athletics,Chicago White Sox,3,2,H
27/04/2025 20:10,Los Angeles Dodgers,Pittsburgh Pirates,9,2,H
27/04/2025 20:10,San Diego Padres,Tampa Bay Rays,2,4,A
27/04/2025 20:10,Arizona Diamondbacks,Atlanta Braves,6,4,H
27/04/2025 20:10,Seattle Mariners,Miami Marlins,7,6,H
27/04/2025 23:10,Chicago Cubs,Philadelphia Phillies,1,3,A
28/04/2025 20:05,Washington Nationals,New York Mets,5,19,A
28/04/2025 22:10,Cleveland Guardians,Minnesota Twins,1,11,A
28/04/2025 22:35,Baltimore Orioles,New York Yankees,4,3,H
28/04/2025 22:40,Cincinnati Reds,St. Louis Cardinals,3,1,H
29/04/2025 00:05,Texas Rangers,Athletics,1,2,A
29/04/2025 00:10,Houston Astros,Detroit Tigers,8,5,H
29/04/2025 00:40,Colorado Rockies,Atlanta Braves,3,6,A
29/04/2025 02:10,Los Angeles Dodgers,Miami Marlins,7,6,H
29/04/2025 22:10,Cleveland Guardians,Minnesota Twins,2,1,H
29/04/2025 22:35,Baltimore Orioles,New York Yankees,3,15,A
29/04/2025 22:40,Pittsburgh Pirates,Chicago Cubs,0,9,A
29/04/2025 22:45,Philadelphia Phillies,Washington Nationals,7,6,H
29/04/2025 23:05,Tampa Bay Rays,Kansas City Royals,1,3,A
29/04/2025 23:07,Toronto Blue Jays,Boston Red Sox,2,10,A
29/04/2025 23:10,New York Mets,Arizona Diamondbacks,8,3,H
29/04/2025 23:40,Chicago White Sox,Milwaukee Brewers,2,7,A
30/04/2025 00:05,Texas Rangers,Athletics,15,2,H
30/04/2025 00:10,Houston Astros,Detroit Tigers,6,4,H
30/04/2025 00:40,Colorado Rockies,Atlanta Braves,2,8,A
30/04/2025 01:40,Seattle Mariners,Los Angeles Angels,5,3,H
30/04/2025 01:40,San Diego Padres,San Francisco Giants,7,4,H
30/04/2025 02:10,Los Angeles Dodgers,Miami Marlins,15,2,H
30/04/2025 16:40,Cincinnati Reds,St. Louis Cardinals,0,6,A
30/04/2025 18:10,Houston Astros,Detroit Tigers,4,7,A
30/04/2025 19:10,Colorado Rockies,Atlanta Braves,2,1,H
30/04/2025 19:10,Los Angeles Dodgers,Miami Marlins,12,7,H
30/04/2025 20:10,Seattle Mariners,Los Angeles Angels,9,3,H
30/04/2025 20:10,San Diego Padres,San Francisco Giants,5,3,H
30/04/2025 22:10,Cleveland Guardians,Minnesota Twins,4,2,H
30/04/2025 22:35,Baltimore Orioles,New York Yankees,5,4,H
30/04/2025 22:40,Pittsburgh Pirates,Chicago Cubs,4,3,H
30/04/2025 22:40,Cincinnati Reds,St. Louis Cardinals,1,9,A
30/04/2025 22:45,Philadelphia Phillies,Washington Nationals,7,2,H
30/04/2025 23:05,Tampa Bay Rays,Kansas City Royals,0,3,A
30/04/2025 23:07,Toronto Blue Jays,Boston Red Sox,7,6,H
30/04/2025 23:10,New York Mets,Arizona Diamondbacks,3,4,A
30/04/2025 23:40,Chicago White Sox,Milwaukee Brewers,4,6,A
01/05/2025 00:05,Texas Rangers,Athletics,1,7,A
01/05/2025 16:35,Pittsburgh Pirates,Chicago Cubs,3,8,A
01/05/2025 16:40,Cincinnati Reds,St. Louis Cardinals,9,1,H
01/05/2025 17:10,New York Mets,Arizona Diamondbacks,2,4,A
01/05/2025 17:10,Tampa Bay Rays,Kansas City Royals,2,8,A
01/05/2025 17:10,Cleveland Guardians,Minnesota Twins,4,3,H
01/05/2025 18:10,Chicago White Sox,Milwaukee Brewers,8,0,H
01/05/2025 18:35,Texas Rangers,Athletics,0,3,A
01/05/2025 22:45,Philadelphia Phillies,Washington Nationals,2,4,A
01/05/2025 23:07,Toronto Blue Jays,Boston Red Sox,4,2,H
02/05/2025 01:38,Los Angeles Angels,Detroit Tigers,4,10,A
02/05/2025 01:45,San Francisco Giants,Colorado Rockies,3,4,A
02/05/2025 22:10,Cincinnati Reds,Washington Nationals,6,1,H
02/05/2025 22:40,Pittsburgh Pirates,San Diego Padres,4,9,A
02/05/2025 22:45,Philadelphia Phillies,Arizona Diamondbacks,3,2,H
02/05/2025 23:05,Baltimore Orioles,Kansas City Royals,3,0,H
02/05/2025 23:05,New York Yankees,Tampa Bay Rays,3,0,H
02/05/2025 23:07,Toronto Blue Jays,Cleveland Guardians,5,3,H
02/05/2025 23:10,Boston Red Sox,Minnesota Twins,6,1,H
02/05/2025 23:10,Miami Marlins,Athletics,1,6,A
02/05/2025 23:15,Atlanta Braves,Los Angeles Dodgers,1,2,A
02/05/2025 23:40,Chicago White Sox,Houston Astros,7,3,H
03/05/2025 00:05,Texas Rangers,Seattle Mariners,1,13,A
03/05/2025 00:10,Milwaukee Brewers,Chicago Cubs,0,10,A
03/05/2025 00:15,St. Louis Cardinals,New York Mets,3,9,A
03/05/2025 01:38,Los Angeles Angels,Detroit Tigers,1,9,A
03/05/2025 02:15,San Francisco Giants,Colorado Rockies,4,0,H
03/05/2025 17:05,New York Yankees,Tampa Bay Rays,2,3,A
03/05/2025 18:10,Chicago White Sox,Houston Astros,3,8,A
03/05/2025 19:07,Toronto Blue Jays,Cleveland Guardians,3,5,A
03/05/2025 20:05,Pittsburgh Pirates,San Diego Padres,1,2,A
03/05/2025 20:05,San Francisco Giants,Colorado Rockies,6,3,H
03/05/2025 20:10,Boston Red Sox,Minnesota Twins,3,4,A
03/05/2025 20:10,Miami Marlins,Athletics,9,6,H
03/05/2025 22:05,Philadelphia Phillies,Arizona Diamondbacks,7,2,H
03/05/2025 22:40,Cincinnati Reds,Washington Nationals,6,11,A
03/05/2025 23:05,Texas Rangers,Seattle Mariners,1,2,A
03/05/2025 23:10,Milwaukee Brewers,Chicago Cubs,2,6,A
03/05/2025 23:15,Baltimore Orioles,Kansas City Royals,0,4,A
03/05/2025 23:15,Atlanta Braves,Los Angeles Dodgers,3,10,A
04/05/2025 01:38,Los Angeles Angels,Detroit Tigers,5,2,H
04/05/2025 17:15,St. Louis Cardinals,New York Mets,6,5,H
04/05/2025 17:35,Baltimore Orioles,Kansas City Royals,6,11,A
04/05/2025 17:35,Pittsburgh Pirates,San Diego Padres,0,4,A
04/05/2025 17:35,Boston Red Sox,Minnesota Twins,4,5,A
04/05/2025 17:35,New York Yankees,Tampa Bay Rays,5,7,A
04/05/2025 17:37,Toronto Blue Jays,Cleveland Guardians,4,5,A
04/05/2025 17:40,Miami Marlins,Athletics,2,3,A
04/05/2025 18:05,Philadelphia Phillies,Arizona Diamondbacks,9,11,A
04/05/2025 18:10,Chicago White Sox,Houston Astros,5,4,H
04/05/2025 18:10,Milwaukee Brewers,Chicago Cubs,4,0,H
04/05/2025 18:35,Texas Rangers,Seattle Mariners,8,1,H
04/05/2025 20:05,San Francisco Giants,Colorado Rockies,9,3,H
04/05/2025 20:07,Los Angeles Angels,Detroit Tigers,1,13,A
04/05/2025 20:10,Cincinnati Reds,Washington Nationals,1,4,A
04/05/2025 22:15,St. Louis Cardinals,New York Mets,5,4,H
04/05/2025 23:10,Atlanta Braves,Los Angeles Dodgers,4,3,H
05/05/2025 22:40,Miami Marlins,Los Angeles Dodgers,4,7,A
05/05/2025 23:05,New York Yankees,San Diego Padres,3,4,A
05/05/2025 23:15,Atlanta Braves,Cincinnati Reds,4,0,H
05/05/2025 23:40,Chicago Cubs,San Francisco Giants,9,2,H
05/05/2025 23:40,Kansas City Royals,Chicago White Sox,3,0,H
05/05/2025 23:40,Milwaukee Brewers,Houston Astros,5,1,H
05/05/2025 23:45,St. Louis Cardinals,Pittsburgh Pirates,6,3,H
06/05/2025 01:40,Arizona Diamondbacks,New York Mets,4,5,A
06/05/2025 02:05,Athletics,Seattle Mariners,7,6,H
06/05/2025 19:35,Washington Nationals,Cleveland Guardians,10,9,H
06/05/2025 19:40,Washington Nationals,Cleveland Guardians,1,9,A
06/05/2025 22:40,Miami Marlins,Los Angeles Dodgers,5,4,H
06/05/2025 22:45,Boston Red Sox,Texas Rangers,1,6,A
06/05/2025 23:05,Tampa Bay Rays,Philadelphia Phillies,4,8,A
06/05/2025 23:05,New York Yankees,San Diego Padres,12,3,H
06/05/2025 23:15,Atlanta Braves,Cincinnati Reds,2,1,H
06/05/2025 23:40,Chicago Cubs,San Francisco Giants,5,14,A
06/05/2025 23:40,Minnesota Twins,Baltimore Orioles,9,1,H
06/05/2025 23:40,Kansas City Royals,Chicago White Sox,4,3,H
06/05/2025 23:40,Milwaukee Brewers,Houston Astros,4,3,H
06/05/2025 23:45,St. Louis Cardinals,Pittsburgh Pirates,2,1,H
07/05/2025 01:38,Los Angeles Angels,Toronto Blue Jays,8,3,H
07/05/2025 01:40,Arizona Diamondbacks,New York Mets,5,1,H
07/05/2025 02:05,Athletics,Seattle Mariners,3,5,A
07/05/2025 16:05,Washington Nationals,Cleveland Guardians,6,8,A
07/05/2025 17:10,Milwaukee Brewers,Houston Astros,1,9,A
07/05/2025 17:15,St. Louis Cardinals,Pittsburgh Pirates,5,0,H
07/05/2025 18:20,Chicago Cubs,San Francisco Giants,1,3,A
07/05/2025 19:35,Athletics,Seattle Mariners,5,6,A
07/05/2025 19:40,Arizona Diamondbacks,New York Mets,1,7,A
07/05/2025 20:40,Miami Marlins,Los Angeles Dodgers,1,10,A
07/05/2025 22:45,Boston Red Sox,Texas Rangers,6,4,H
07/05/2025 23:05,Tampa Bay Rays,Philadelphia Phillies,0,7,A
07/05/2025 23:05,New York Yankees,San Diego Padres,4,3,H
07/05/2025 23:15,Atlanta Braves,Cincinnati Reds,3,4,A
07/05/2025 23:40,Minnesota Twins,Baltimore Orioles,5,2,H
07/05/2025 23:40,Kansas City Royals,Chicago White Sox,2,1,H
08/05/2025 00:40,Colorado Rockies,Detroit Tigers,6,8,A
08/05/2025 01:38,Los Angeles Angels,Toronto Blue Jays,5,4,H
08/05/2025 17:10,Minnesota Twins,Baltimore Orioles,5,2,H
08/05/2025 17:35,Boston Red Sox,Texas Rangers,5,0,H
08/05/2025 18:10,Kansas City Royals,Chicago White Sox,10,0,H
08/05/2025 19:10,Colorado Rockies,Detroit Tigers,2,10,A
08/05/2025 19:15,Colorado Rockies,Detroit Tigers,1,11,A
08/05/2025 23:05,Tampa Bay Rays,Philadelphia Phillies,6,7,A
08/05/2025 23:15,Atlanta Braves,Cincinnati Reds,5,4,H
09/05/2025 01:38,Los Angeles Angels,Toronto Blue Jays,5,8,A
09/05/2025 01:40,Arizona Diamondbacks,Los Angeles Dodgers,5,3,H
09/05/2025 22:40,Detroit Tigers,Texas Rangers,2,1,H
09/05/2025 22:40,Pittsburgh Pirates,Atlanta Braves,3,2,H
09/05/2025 22:45,Washington Nationals,St. Louis Cardinals,0,10,A
09/05/2025 23:05,Tampa Bay Rays,Milwaukee Brewers,4,3,H
09/05/2025 23:10,New York Mets,Chicago Cubs,7,2,H
09/05/2025 23:10,Cleveland Guardians,Philadelphia Phillies,6,0,H
09/05/2025 23:40,Kansas City Royals,Boston Red Sox,2,1,H
09/05/2025 23:40,Chicago White Sox,Miami Marlins,6,2,H
10/05/2025 00:10,Houston Astros,Cincinnati Reds,3,0,H
10/05/2025 00:10,Minnesota Twins,San Francisco Giants,3,1,H
10/05/2025 00:40,Colorado Rockies,San Diego Padres,9,13,A
10/05/2025 01:38,Los Angeles Angels,Baltimore Orioles,1,4,A
10/05/2025 01:40,Arizona Diamondbacks,Los Angeles Dodgers,11,14,A
10/05/2025 01:40,Seattle Mariners,Toronto Blue Jays,3,6,A
10/05/2025 02:05,Athletics,New York Yankees,2,10,A
10/05/2025 20:05,Washington Nationals,St. Louis Cardinals,2,4,A
10/05/2025 20:05,Pittsburgh Pirates,Atlanta Braves,2,3,A
10/05/2025 20:05,Athletics,New York Yankees,11,7,H
10/05/2025 20:10,Tampa Bay Rays,Milwaukee Brewers,3,2,H
10/05/2025 22:10,Detroit Tigers,Texas Rangers,3,10,A
10/05/2025 22:10,Cleveland Guardians,Philadelphia Phillies,1,7,A
10/05/2025 23:10,Houston Astros,Cincinnati Reds,9,13,A
10/05/2025 23:10,Kansas City Royals,Boston Red Sox,1,10,A
10/05/2025 23:10,Chicago White Sox,Miami Marlins,1,3,A
10/05/2025 23:15,New York Mets,Chicago Cubs,5,6,A
10/05/2025 23:15,Minnesota Twins,San Francisco Giants,2,1,H
11/05/2025 00:10,Arizona Diamondbacks,Los Angeles Dodgers,3,0,H
11/05/2025 00:10,Colorado Rockies,San Diego Padres,0,21,A
11/05/2025 01:38,Los Angeles Angels,Baltimore Orioles,5,2,H
11/05/2025 01:40,Seattle Mariners,Toronto Blue Jays,3,6,A
11/05/2025 16:05,New York Mets,Chicago Cubs,6,2,H
11/05/2025 17:35,Washington Nationals,St. Louis Cardinals,1,6,A
11/05/2025 17:35,Pittsburgh Pirates,Atlanta Braves,4,3,H
11/05/2025 17:40,Detroit Tigers,Texas Rangers,1,6,A
11/05/2025 17:40,Tampa Bay Rays,Milwaukee Brewers,2,4,A
11/05/2025 18:10,Houston Astros,Cincinnati Reds,6,0,H
11/05/2025 18:10,Kansas City Royals,Boston Red Sox,1,3,A
11/05/2025 18:10,Minnesota Twins,San Francisco Giants,7,6,H
11/05/2025 18:10,Chicago White Sox,Miami Marlins,4,2,H
11/05/2025 19:10,Colorado Rockies,San Diego Padres,9,3,H
11/05/2025 20:05,Athletics,New York Yankees,2,12,A
11/05/2025 20:07,Los Angeles Angels,Baltimore Orioles,3,7,A
11/05/2025 20:10,Arizona Diamondbacks,Los Angeles Dodgers,1,8,A
11/05/2025 20:10,Seattle Mariners,Toronto Blue Jays,1,9,A
11/05/2025 23:10,Cleveland Guardians,Philadelphia Phillies,0,3,A
12/05/2025 22:10,Cleveland Guardians,Milwaukee Brewers,5,0,H
12/05/2025 22:40,Detroit Tigers,Boston Red Sox,14,2,H
12/05/2025 22:45,Philadelphia Phillies,St. Louis Cardinals,2,3,A
12/05/2025 23:10,New York Mets,Pittsburgh Pirates,4,3,H
12/05/2025 23:15,Atlanta Braves,Washington Nationals,4,3,H
12/05/2025 23:40,Chicago Cubs,Miami Marlins,5,2,H
13/05/2025 00:05,Texas Rangers,Colorado Rockies,2,1,H
13/05/2025 00:10,Houston Astros,Kansas City Royals,5,7,A
13/05/2025 01:40,San Diego Padres,Los Angeles Angels,5,9,A
13/05/2025 01:40,Seattle Mariners,New York Yankees,5,11,A
13/05/2025 01:45,San Francisco Giants,Arizona Diamondbacks,1,2,A
13/05/2025 22:10,Cleveland Guardians,Milwaukee Brewers,2,0,H
13/05/2025 22:40,Detroit Tigers,Boston Red Sox,10,9,H
13/05/2025 22:40,Cincinnati Reds,Chicago White Sox,1,5,A
13/05/2025 23:07,Toronto Blue Jays,Tampa Bay Rays,9,11,A
13/05/2025 23:10,New York Mets,Pittsburgh Pirates,2,1,H
13/05/2025 23:15,Atlanta Braves,Washington Nationals,5,2,H
13/05/2025 23:40,Chicago Cubs,Miami Marlins,5,4,H
14/05/2025 00:05,Texas Rangers,Colorado Rockies,4,1,H
14/05/2025 00:10,Houston Astros,Kansas City Royals,2,1,H
14/05/2025 01:40,San Diego Padres,Los Angeles Angels,6,4,H
14/05/2025 01:40,Seattle Mariners,New York Yankees,2,1,H
14/05/2025 01:45,San Francisco Giants,Arizona Diamondbacks,10,6,H
14/05/2025 02:10,Los Angeles Dodgers,Athletics,1,11,A
14/05/2025 16:05,Baltimore Orioles,Minnesota Twins,3,6,A
14/05/2025 16:10,Baltimore Orioles,Minnesota Twins,6,8,A
14/05/2025 17:05,Philadelphia Phillies,St. Louis Cardinals,2,1,H
14/05/2025 17:10,Cleveland Guardians,Milwaukee Brewers,5,9,A
14/05/2025 19:45,San Francisco Giants,Arizona Diamondbacks,7,8,A
14/05/2025 20:10,Seattle Mariners,New York Yankees,2,3,A
14/05/2025 22:15,Philadelphia Phillies,St. Louis Cardinals,7,14,A
14/05/2025 22:40,Detroit Tigers,Boston Red Sox,6,5,H
14/05/2025 23:07,Toronto Blue Jays,Tampa Bay Rays,3,1,H
14/05/2025 23:10,New York Mets,Pittsburgh Pirates,0,4,A
14/05/2025 23:14,Cincinnati Reds,Chicago White Sox,2,4,A
14/05/2025 23:15,Atlanta Braves,Washington Nationals,4,5,A
14/05/2025 23:40,Chicago Cubs,Miami Marlins,1,3,A
15/05/2025 00:05,Texas Rangers,Colorado Rockies,8,3,H
15/05/2025 00:10,Houston Astros,Kansas City Royals,4,3,H
15/05/2025 01:40,San Diego Padres,Los Angeles Angels,5,1,H
15/05/2025 02:10,Los Angeles Dodgers,Athletics,9,3,H
15/05/2025 16:15,Atlanta Braves,Washington Nationals,5,2,H
15/05/2025 16:35,Baltimore Orioles,Minnesota Twins,0,4,A
15/05/2025 16:40,Cincinnati Reds,Chicago White Sox,7,1,H
15/05/2025 19:07,Toronto Blue Jays,Tampa Bay Rays,3,8,A
16/05/2025 00:05,Texas Rangers,Houston Astros,1,0,H
16/05/2025 02:10,Los Angeles Dodgers,Athletics,19,2,H
16/05/2025 18:20,Chicago Cubs,Chicago White Sox,13,3,H
16/05/2025 21:10,Cincinnati Reds,Cleveland Guardians,5,4,H
16/05/2025 22:45,Philadelphia Phillies,Pittsburgh Pirates,8,4,H
16/05/2025 23:05,Baltimore Orioles,Washington Nationals,3,4,A
16/05/2025 23:05,New York Yankees,New York Mets,6,2,H
16/05/2025 23:07,Toronto Blue Jays,Detroit Tigers,4,5,A
16/05/2025 23:10,Boston Red Sox,Atlanta Braves,2,4,A
16/05/2025 23:10,Miami Marlins,Tampa Bay Rays,9,4,H
16/05/2025 23:40,Kansas City Royals,St. Louis Cardinals,3,10,A
17/05/2025 00:05,Texas Rangers,Houston Astros,3,6,A
17/05/2025 00:10,Milwaukee Brewers,Minnesota Twins,0,3,A
17/05/2025 01:40,Arizona Diamondbacks,Colorado Rockies,8,0,H
17/05/2025 01:40,San Diego Padres,Seattle Mariners,1,5,A
17/05/2025 02:10,Los Angeles Dodgers,Los Angeles Angels,2,6,A
17/05/2025 02:15,San Francisco Giants,Athletics,9,1,H
17/05/2025 17:05,New York Yankees,New York Mets,2,3,A
17/05/2025 18:20,Chicago Cubs,Chicago White Sox,7,3,H
17/05/2025 19:07,Toronto Blue Jays,Detroit Tigers,2,1,H
17/05/2025 20:05,Baltimore Orioles,Washington Nationals,6,10,A
17/05/2025 20:10,Miami Marlins,Tampa Bay Rays,0,4,A
17/05/2025 22:05,Philadelphia Phillies,Pittsburgh Pirates,5,2,H
17/05/2025 22:40,Cincinnati Reds,Cleveland Guardians,4,1,H
17/05/2025 23:05,Texas Rangers,Houston Astros,5,1,H
17/05/2025 23:10,Kansas City Royals,St. Louis Cardinals,0,1,A
17/05/2025 23:15,Boston Red Sox,Atlanta Braves,7,6,H
17/05/2025 23:15,Milwaukee Brewers,Minnesota Twins,0,7,A
18/05/2025 00:10,Arizona Diamondbacks,Colorado Rockies,12,14,A
18/05/2025 00:40,San Diego Padres,Seattle Mariners,1,4,A
18/05/2025 01:05,San Francisco Giants,Athletics,1,0,H
18/05/2025 01:10,Los Angeles Dodgers,Los Angeles Angels,9,11,A
18/05/2025 17:05,Texas Rangers,Houston Astros,3,4,A
18/05/2025 17:35,Baltimore Orioles,Washington Nationals,4,10,A
18/05/2025 17:35,Philadelphia Phillies,Pittsburgh Pirates,1,0,H
18/05/2025 17:35,Boston Red Sox,Atlanta Braves,4,10,A
18/05/2025 17:37,Toronto Blue Jays,Detroit Tigers,2,3,A
18/05/2025 17:40,Cincinnati Reds,Cleveland Guardians,3,1,H
18/05/2025 17:40,Miami Marlins,Tampa Bay Rays,5,1,H
18/05/2025 18:10,Kansas City Royals,St. Louis Cardinals,2,1,H
18/05/2025 18:10,Milwaukee Brewers,Minnesota Twins,5,2,H
18/05/2025 18:20,Chicago Cubs,Chicago White Sox,6,2,H
18/05/2025 20:05,San Francisco Giants,Athletics,3,2,H
18/05/2025 20:10,Arizona Diamondbacks,Colorado Rockies,1,0,H
18/05/2025 20:10,Los Angeles Dodgers,Los Angeles Angels,4,6,A
18/05/2025 20:10,San Diego Padres,Seattle Mariners,1,6,A
18/05/2025 23:10,New York Yankees,New York Mets,8,2,H
19/05/2025 22:40,Pittsburgh Pirates,Cincinnati Reds,1,7,A
19/05/2025 22:40,Miami Marlins,Chicago Cubs,8,7,H
19/05/2025 22:45,Boston Red Sox,New York Mets,3,1,H
19/05/2025 23:05,Tampa Bay Rays,Houston Astros,3,4,A
19/05/2025 23:40,Chicago White Sox,Seattle Mariners,1,5,A
19/05/2025 23:40,Milwaukee Brewers,Baltimore Orioles,5,4,H
19/05/2025 23:45,St. Louis Cardinals,Detroit Tigers,11,4,H
20/05/2025 00:40,Colorado Rockies,Philadelphia Phillies,3,9,A
20/05/2025 01:45,San Francisco Giants,Kansas City Royals,1,3,A
20/05/2025 02:05,Athletics,Los Angeles Angels,3,4,A
20/05/2025 02:10,Los Angeles Dodgers,Arizona Diamondbacks,5,9,A
20/05/2025 22:40,Pittsburgh Pirates,Cincinnati Reds,1,0,H
20/05/2025 22:40,Miami Marlins,Chicago Cubs,1,14,A
20/05/2025 22:45,Boston Red Sox,New York Mets,2,0,H
20/05/2025 22:45,Washington Nationals,Atlanta Braves,5,3,H
20/05/2025 23:05,Tampa Bay Rays,Houston Astros,3,2,H
20/05/2025 23:05,New York Yankees,Texas Rangers,5,2,H
20/05/2025 23:07,Toronto Blue Jays,San Diego Padres,3,0,H
20/05/2025 23:40,Chicago White Sox,Seattle Mariners,1,0,H
20/05/2025 23:40,Milwaukee Brewers,Baltimore Orioles,5,2,H
20/05/2025 23:45,St. Louis Cardinals,Detroit Tigers,4,5,A
21/05/2025 00:40,Colorado Rockies,Philadelphia Phillies,4,7,A
21/05/2025 01:45,San Francisco Giants,Kansas City Royals,3,2,H
21/05/2025 02:05,Athletics,Los Angeles Angels,5,7,A
21/05/2025 02:10,Los Angeles Dodgers,Arizona Diamondbacks,4,3,H
21/05/2025 16:35,Pittsburgh Pirates,Cincinnati Reds,3,1,H
21/05/2025 17:10,Minnesota Twins,Cleveland Guardians,6,5,H
21/05/2025 17:10,Tampa Bay Rays,Houston Astros,8,4,H
21/05/2025 17:10,Miami Marlins,Chicago Cubs,1,2,A
21/05/2025 17:10,Milwaukee Brewers,Baltimore Orioles,4,8,A
21/05/2025 17:15,St. Louis Cardinals,Detroit Tigers,1,5,A
21/05/2025 18:10,Chicago White Sox,Seattle Mariners,5,6,A
21/05/2025 19:45,San Francisco Giants,Kansas City Royals,4,8,A
21/05/2025 19:55,Minnesota Twins,Cleveland Guardians,1,5,A
21/05/2025 22:45,Boston Red Sox,New York Mets,1,5,A
21/05/2025 23:05,New York Yankees,Texas Rangers,4,3,H
21/05/2025 23:07,Toronto Blue Jays,San Diego Padres,14,0,H
22/05/2025 00:40,Colorado Rockies,Philadelphia Phillies,5,9,A
22/05/2025 02:05,Athletics,Los Angeles Angels,5,10,A
22/05/2025 02:10,Los Angeles Dodgers,Arizona Diamondbacks,3,1,H
22/05/2025 16:35,New York Yankees,Texas Rangers,1,0,H
22/05/2025 17:07,Toronto Blue Jays,San Diego Padres,7,6,H
22/05/2025 19:10,Colorado Rockies,Philadelphia Phillies,0,2,A
22/05/2025 19:35,Athletics,Los Angeles Angels,5,10,A
22/05/2025 22:40,Detroit Tigers,Cleveland Guardians,0,7,A
22/05/2025 22:40,Pittsburgh Pirates,Milwaukee Brewers,5,8,A
22/05/2025 22:45,Washington Nationals,Atlanta Braves,8,7,H
23/05/2025 00:10,Houston Astros,Seattle Mariners,9,2,H
23/05/2025 17:35,Boston Red Sox,Baltimore Orioles,19,5,H
23/05/2025 22:40,Cincinnati Reds,Chicago Cubs,6,13,A
23/05/2025 22:40,Pittsburgh Pirates,Milwaukee Brewers,6,5,H
23/05/2025 22:45,Washington Nationals,San Francisco Giants,0,4,A
23/05/2025 23:05,Tampa Bay Rays,Toronto Blue Jays,3,1,H
23/05/2025 23:10,Detroit Tigers,Cleveland Guardians,1,3,A
23/05/2025 23:10,New York Mets,Los Angeles Dodgers,5,7,A
23/05/2025 23:15,Atlanta Braves,San Diego Padres,1,2,A
23/05/2025 23:40,Chicago White Sox,Texas Rangers,4,1,H
24/05/2025 00:10,Houston Astros,Seattle Mariners,3,5,A
24/05/2025 00:10,Minnesota Twins,Kansas City Royals,3,1,H
24/05/2025 00:15,St. Louis Cardinals,Arizona Diamondbacks,4,3,H
24/05/2025 00:40,Colorado Rockies,New York Yankees,3,2,H
24/05/2025 01:38,Los Angeles Angels,Miami Marlins,7,4,H
24/05/2025 02:05,Athletics,Philadelphia Phillies,3,4,A
24/05/2025 17:05,Boston Red Sox,Baltimore Orioles,6,5,H
24/05/2025 18:10,Minnesota Twins,Kansas City Royals,5,4,H
24/05/2025 18:15,St. Louis Cardinals,Arizona Diamondbacks,6,5,H
24/05/2025 20:05,Washington Nationals,San Francisco Giants,3,0,H
24/05/2025 20:05,Pittsburgh Pirates,Milwaukee Brewers,2,1,H
24/05/2025 20:10,Cincinnati Reds,Chicago Cubs,6,4,H
24/05/2025 20:10,Houston Astros,Seattle Mariners,2,1,H
24/05/2025 20:10,Atlanta Braves,San Diego Padres,7,1,H
24/05/2025 20:10,Chicago White Sox,Texas Rangers,10,5,H
24/05/2025 20:10,Colorado Rockies,New York Yankees,1,13,A
24/05/2025 22:35,Boston Red Sox,Baltimore Orioles,1,2,A
24/05/2025 23:05,Tampa Bay Rays,Toronto Blue Jays,3,1,H
24/05/2025 23:15,Detroit Tigers,Cleveland Guardians,5,7,A
24/05/2025 23:15,New York Mets,Los Angeles Dodgers,5,2,H
25/05/2025 02:05,Athletics,Philadelphia Phillies,6,9,A
25/05/2025 02:07,Los Angeles Angels,Miami Marlins,2,6,A
25/05/2025 15:35,Detroit Tigers,Cleveland Guardians,5,0,H
25/05/2025 17:35,Boston Red Sox,Baltimore Orioles,1,5,A
25/05/2025 17:35,Washington Nationals,San Francisco Giants,2,3,A
