Season,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
2024,Wake Forest,Virginia,30,31,A
2024,Missouri,Buffalo,38,0,H
2024,Illinois,Kansas,23,17,H
2024,Arkansas State,Tulsa,28,24,H
2024,Nevada,Georgia Southern,17,20,A
2024,Colorado State,Northern Colorado,38,17,H
2024,Alabama,USF,42,16,H
2024,Southern Miss,Southeastern Louisiana,35,10,H
2024,Rice,Texas Southern,69,7,H
2024,UL-Monroe,UAB,32,6,H
2024,UCF,Sam Houston State,45,14,H
2024,Nebraska,Colorado,28,10,H
2024,Vanderbilt,Alcorn State,55,0,H
2024,Ohio State,Western Michigan,56,0,H
2024,North Texas,Stephen F. Austin,35,20,H
2024,LSU,Nicholls State,44,21,H
2024,NC State,Tennessee,10,51,A
2024,Oklahoma,Houston,16,12,H
2024,Clemson,Appalachian State,66,20,H
2024,TCU,LIU,45,0,H
2024,UTEP,Southern Utah,24,27,A
2024,Fresno State,Sacramento State,46,30,H
2024,Washington State,Texas Tech,37,16,H
2024,Arizona,Northern Arizona,22,10,H
2024,Oregon,Boise State,37,34,H
2024,New Mexico State,Liberty,24,30,A
2024,San Diego State,Oregon State,0,21,A
2024,Arizona State,Mississippi State,30,23,H
2024,USC,Utah State,48,0,H
2024,South Alabama,Northwestern State,87,10,H
2024,Texas State,Arizona State,28,31,A
2024,Kansas,UNLV,20,23,A
2024,Kansas State,Arizona,31,7,H
2024,Tulsa,Oklahoma State,10,45,A
2024,Wisconsin,Alabama,10,42,A
2024,Miami (OH),Cincinnati,16,27,A
2024,NC State,Louisiana Tech,30,20,H
2024,Illinois,Central Michigan,30,9,H
2024,Florida State,Memphis,12,20,A
2024,Michigan,Arkansas State,28,18,H
2024,South Carolina,LSU,33,36,A
2024,Texas Tech,North Texas,66,21,H
2024,Missouri,Boston College,27,21,H
2024,Buffalo,Massachusetts,34,3,H
2024,Temple,Coastal Carolina,20,28,A
2024,Purdue,Notre Dame,7,66,A
2024,Michigan State,Prairie View A&M,40,0,H
2024,Minnesota,Nevada,27,0,H
2024,Washington,Washington State,19,24,A
2024,Ohio,Morgan State,21,6,H
2024,Oregon State,Oregon,14,49,A
2024,Florida,Texas A&M,20,33,A
2024,Pittsburgh,West Virginia,38,34,H
2024,Oklahoma,Tulane,34,19,H
2024,Georgia Tech,Virginia Military,59,7,H
2024,Iowa,Troy,38,21,H
2024,East Carolina,Appalachian State,19,21,A
2024,Arkansas,UAB,37,27,H
2024,Utah State,Utah,21,38,A
2024,Miami (FL),Ball State,62,0,H
2024,North Carolina,North Carolina Central,45,10,H
2024,Duke,Connecticut,26,21,H
2024,Liberty,UTEP,28,10,H
2024,Old Dominion,Virginia Tech,17,37,A
2024,Akron,Colgate,31,20,H
2024,Georgia Southern,South Carolina State,42,14,H
2024,Charlotte,Gardner Webb,27,26,H
2024,Wake Forest,Ole Miss,6,40,A
2024,Western Michigan,Bethune Cookman,59,31,H
2024,Texas,UTSA,56,7,H
2024,Georgia State,Vanderbilt,36,32,H
2024,Eastern Michigan,Jacksonville State,37,34,H
2024,San Jose State,Kennesaw State,31,10,H
2024,Middle Tennessee,Western Kentucky,21,49,A
2024,Southern Miss,USF,24,49,A
2024,Sam Houston State,Hawaii,31,13,H
2024,Kentucky,Georgia,12,13,A
2024,Baylor,Air Force,31,3,H
2024,Colorado State,Colorado,9,28,A
2024,TCU,UCF,34,35,A
2024,UCLA,Indiana,13,42,A
2024,Nebraska,Northern Iowa,34,3,H
2024,Auburn,New Mexico,45,19,H
2024,Northwestern,Eastern Illinois,31,7,H
2024,Mississippi State,Toledo,17,41,A
2024,Florida Atlantic,FIU,38,20,H
2024,Tennessee,Kent State,71,0,H
2024,Houston,Rice,33,7,H
2024,Virginia,Maryland,13,27,A
2024,Wyoming,BYU,14,34,A
2024,Fresno State,New Mexico State,48,0,H
2024,California,San Diego State,31,10,H
2024,Appalachian State,South Alabama,14,48,A
2024,Syracuse,Stanford,24,26,A
2024,Nebraska,Illinois,24,31,A
2024,Washington State,San Jose State,54,52,H
2024,Army,Rice,37,14,H
2024,UL-Lafayette,Tulane,33,41,A
2024,West Virginia,Kansas,32,28,H
2024,Cincinnati,Houston,34,0,H
2024,Clemson,NC State,59,35,H
2024,North Carolina,James Madison,50,70,A
2024,Indiana,Charlotte,52,14,H
2024,Ohio State,Marshall,49,14,H
2024,Maryland,Villanova,38,20,H
2024,Mississippi State,Florida,28,45,A
2024,Kentucky,Ohio,41,6,H
2024,Central Michigan,Ball State,37,34,H
