Season,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
2024,Tulane,Temple,52,6,H
2024,Vanderbilt,South Carolina,7,28,A
2024,Louisiana Tech,Jacksonville State,37,44,A
2024,UL-Lafayette,Arkansas State,55,19,H
2024,New Mexico State,Western Kentucky,28,41,A
2024,TCU,Oklahoma State,38,13,H
2024,Oregon,Maryland,39,18,H
2024,Tennessee,Mississippi State,33,14,H
2024,Arizona State,UCF,35,31,H
2024,LSU,Alabama,13,42,A
2024,Notre Dame,Florida State,52,3,H
2024,Missouri,Oklahoma,30,23,H
2024,Pittsburgh,Virginia,19,24,A
2024,Penn State,Washington,35,6,H
2024,Boise State,Nevada,28,21,H
2024,Hawaii,UNLV,27,29,A
2024,Air Force,Fresno State,36,28,H
2024,Utah,BYU,21,22,A
2024,Washington State,Utah State,49,28,H
2024,Bowling Green,Western Michigan,31,13,H
2024,Buffalo,Ball State,51,48,H
2024,Toledo,Central Michigan,37,10,H
2024,Ohio,Eastern Michigan,35,10,H
2024,Northern Illinois,Akron,29,16,H
2024,Miami (OH),Kent State,34,7,H
2024,Tulsa,East Carolina,31,38,A
2024,UTSA,North Texas,48,27,H
2024,Colorado State,Wyoming,24,10,H
2024,Washington,UCLA,31,19,H
2024,Arizona,Houston,27,3,H
2024,Colorado,Utah,49,24,H
2024,Massachusetts,Liberty,34,35,A
2024,Navy,Tulane,0,35,A
2024,Pittsburgh,Clemson,20,24,A
2024,Western Kentucky,Louisiana Tech,7,12,A
2024,Northwestern,Ohio State,7,31,A
2024,Arkansas,Texas,10,20,A
2024,Auburn,UL-Monroe,48,14,H
2024,Marshall,Coastal Carolina,31,19,H
2024,Kentucky,Murray State,48,6,H
2024,Temple,Florida Atlantic,18,15,H
2024,Jacksonville State,FIU,34,31,H
2024,Alabama,Mercer,52,7,H
2024,Illinois,Michigan State,38,16,H
2024,Kennesaw State,Sam Houston State,17,23,A
2024,California,Syracuse,25,33,A
2024,Utah State,Hawaii,55,10,H
2024,Stanford,Louisville,38,35,H
2024,Charlotte,USF,24,59,A
2024,Florida,LSU,27,16,H
2024,Purdue,Penn State,10,49,A
2024,SMU,Boston College,38,28,H
2024,Air Force,Oregon State,28,0,H
2024,Notre Dame,Virginia,35,14,H
2024,West Virginia,Baylor,35,49,A
2024,Old Dominion,James Madison,32,35,A
2024,Georgia Southern,Troy,20,28,A
2024,USC,Nebraska,28,20,H
2024,South Carolina,Missouri,34,30,H
2024,Georgia State,Arkansas State,20,27,A
2024,Maryland,Rutgers,17,31,A
2024,San Jose State,Boise State,21,42,A
2024,Texas State,Southern Miss,58,3,H
2024,UL-Lafayette,South Alabama,22,24,A
2024,Kansas State,Arizona State,14,24,A
2024,Wisconsin,Oregon,13,16,A
2024,Georgia,Tennessee,31,17,H
2024,Texas A&M,New Mexico State,38,3,H
2024,Iowa State,Cincinnati,34,17,H
2024,Memphis,UAB,53,18,H
2024,North Carolina,Wake Forest,31,24,H
2024,New Mexico,Washington State,38,35,H
2024,BYU,Kansas,13,17,A
2024,UNLV,San Diego State,41,20,H
2024,Kent State,Akron,17,38,A
2024,Central Michigan,Western Michigan,16,14,H
2024,Miami (OH),Northern Illinois,20,9,H
2024,Eastern Michigan,Buffalo,20,37,A
2024,Toledo,Ohio,7,24,A
2024,Georgia Tech,NC State,30,29,H
2024,UTSA,Temple,51,27,H
2024,Michigan State,Purdue,24,17,H
2024,San Jose State,UNLV,16,27,A
2024,Maryland,Iowa,13,29,A
2024,Syracuse,Connecticut,31,24,H
2024,Virginia,SMU,7,33,A
2024,Rutgers,Illinois,31,38,A
2024,Jacksonville State,Sam Houston State,21,11,H
2024,Miami (FL),Wake Forest,42,14,H
2024,Boston College,North Carolina,41,21,H
2024,Florida,Ole Miss,24,17,H
2024,Ohio State,Indiana,38,15,H
2024,Georgia,Massachusetts,59,21,H
2024,Liberty,Western Kentucky,38,21,H
2024,Tennessee,UTEP,56,0,H
2024,Florida State,Charleston Southern,41,7,H
2024,UAB,Rice,40,14,H
2024,Ball State,Bowling Green,13,38,A
2024,Appalachian State,James Madison,34,20,H
2024,Middle Tennessee,New Mexico State,21,36,A
2024,Kennesaw State,FIU,27,26,H
2024,TCU,Arizona,49,28,H
2024,Arkansas State,UL-Monroe,28,21,H
2024,Florida Atlantic,Charlotte,27,39,A
2024,Southern Miss,South Alabama,14,35,A
2024,North Texas,East Carolina,28,40,A
2024,USF,Tulsa,63,30,H
2024,Nebraska,Wisconsin,44,25,H
2024,Clemson,Citadel,51,14,H
2024,Michigan,Northwestern,50,6,H
2024,Minnesota,Penn State,25,26,A
2024,West Virginia,UCF,31,21,H
2024,Coastal Carolina,Georgia Southern,6,26,A
2024,California,Stanford,24,21,H
2024,Oklahoma State,Texas Tech,48,56,A
2024,Utah State,San Diego State,41,20,H
2024,Texas,Kentucky,31,14,H
2024,Kansas,Colorado,37,21,H
2024,Arizona State,BYU,28,23,H
2024,Louisville,Pittsburgh,37,9,H
2024,Arkansas,Louisiana Tech,35,14,H
2024,South Carolina,Wofford,56,12,H
2024,Mississippi State,Missouri,20,39,A
2024,UL-Lafayette,Troy,51,30,H
2024,Texas State,Georgia State,44,52,A
2024,Oregon State,Washington State,41,38,H
2024,Houston,Baylor,10,20,A
2024,Notre Dame,Army,49,14,H
2024,Wyoming,Boise State,13,17,A
2024,Auburn,Texas A&M,43,41,H
2024,Oklahoma,Alabama,24,3,H
2024,Old Dominion,Marshall,35,42,A
2024,Utah,Iowa State,28,31,A
2024,LSU,Vanderbilt,24,17,H
2024,Duke,Virginia Tech,31,28,H
2024,Kansas State,Cincinnati,41,15,H
2024,Nevada,Air Force,19,22,A
2024,Fresno State,Colorado State,28,22,H
2024,UCLA,USC,13,19,A
2024,Akron,Toledo,21,14,H
2024,Buffalo,Kent State,43,7,H
2024,Tulane,Memphis,24,34,A
2024,Boise State,Oregon State,34,18,H
2024,East Carolina,Navy,20,34,A
2024,Wisconsin,Minnesota,7,24,A
2024,Ohio,Ball State,42,21,H
2024,Bowling Green,Miami (OH),12,28,A
2024,Colorado,Oklahoma State,52,0,H
2024,Colorado State,Utah State,42,37,H
2024,Sam Houston State,Liberty,20,18,H
2024,Ole Miss,Mississippi State,26,14,H
2024,South Alabama,Texas State,38,45,A
2024,San Jose State,Stanford,34,31,H
2024,Iowa,Nebraska,13,10,H
2024,Georgia,Georgia Tech,44,42,H
2024,UCF,Utah,14,28,A
2024,Texas Tech,West Virginia,52,15,H
2024,Army,UTSA,29,24,H
2024,Baylor,Kansas,45,17,H
2024,Kentucky,Louisville,14,41,A
2024,Northwestern,Illinois,28,38,A
2024,Wake Forest,Duke,17,23,A
2024,Massachusetts,Connecticut,42,47,A
2024,Clemson,South Carolina,14,17,A
2024,Ohio State,Michigan,10,13,A
2024,Vanderbilt,Tennessee,23,36,A
2024,UL-Monroe,UL-Lafayette,23,37,A
2024,Temple,North Texas,17,24,A
2024,Western Michigan,Eastern Michigan,26,18,H
2024,Georgia State,Coastal Carolina,27,48,A
2024,Troy,Southern Miss,52,20,H
2024,FIU,Middle Tennessee,35,24,H
2024,Rice,USF,35,28,H
2024,Boston College,Pittsburgh,34,23,H
2024,Arkansas State,Old Dominion,32,40,A
2024,Michigan State,Rutgers,14,41,A
2024,Arizona,Arizona State,7,49,A
2024,Charlotte,UAB,29,27,H
2024,UCLA,Fresno State,20,13,H
2024,North Carolina,NC State,30,35,A
2024,Northern Illinois,Central Michigan,24,16,H
2024,Tulsa,Florida Atlantic,16,63,A
2024,SMU,California,38,6,H
2024,Syracuse,Miami (FL),42,38,H
2024,Alabama,Auburn,28,14,H
2024,Missouri,Arkansas,28,21,H
2024,Penn State,Maryland,44,7,H
2024,USC,Notre Dame,35,49,A
2024,Louisiana Tech,Kennesaw State,33,0,H
2024,New Mexico State,UTEP,35,42,A
2024,Western Kentucky,Jacksonville State,19,17,H
2024,Georgia Southern,Appalachian State,29,20,H
2024,Cincinnati,TCU,13,20,A
2024,Washington State,Wyoming,14,15,A
2024,Indiana,Purdue,66,0,H
2024,LSU,Oklahoma,37,17,H
2024,Florida State,Florida,11,31,A
2024,Texas A&M,Texas,7,17,A
2024,Oregon,Washington,49,21,H
2024,Iowa State,Kansas State,29,21,H
2024,Virginia Tech,Virginia,37,17,H
2024,James Madison,Marshall,33,35,A
2024,UNLV,Nevada,38,14,H
2024,BYU,Houston,30,18,H
2024,San Diego State,Air Force,20,31,A
2024,Hawaii,New Mexico,38,30,H
2024,Jacksonville State,Western Kentucky,52,12,H
2024,Army,Tulane,35,14,H
2024,Boise State,UNLV,21,7,H
2024,Arizona State,Iowa State,45,19,H
2024,Miami (OH),Ohio,3,38,A
2024,Texas,Georgia,19,22,A
2024,UL-Lafayette,Marshall,3,31,A
2024,Oregon,Penn State,45,37,H
2024,SMU,Clemson,31,34,A
2024,Army,Navy,13,31,A
2024,Western Michigan,South Alabama,23,30,A
2024,West Virginia,Memphis,37,42,A
2024,James Madison,Western Kentucky,27,17,H
2024,UNLV,California,24,13,H
2024,Sam Houston State,Georgia Southern,31,26,H
2024,Jacksonville State,Ohio,27,30,A
2024,Florida,Tulane,33,8,H
2024,Notre Dame,Indiana,27,17,H
2024,Penn State,SMU,38,10,H
2024,Texas,Clemson,38,24,H
2024,Ohio State,Tennessee,42,17,H
2024,Coastal Carolina,UTSA,15,44,A
2024,Fresno State,Northern Illinois,20,28,A
2024,San Jose State,USF,39,41,A
2024,Toledo,Pittsburgh,48,46,H
2024,Kansas State,Rutgers,44,41,H
2024,Bowling Green,Arkansas State,31,38,A
2024,Navy,Oklahoma,21,20,H
2024,Vanderbilt,Georgia Tech,35,27,H
2024,Arkansas,Texas Tech,39,26,H
2024,Washington State,Syracuse,35,52,A
2024,Texas A&M,USC,31,35,A
2024,North Carolina,Connecticut,14,27,A
2024,Nebraska,Boston College,20,15,H
2024,TCU,UL-Lafayette,34,3,H
2024,Miami (FL),Iowa State,41,42,A
2024,Colorado State,Miami (OH),17,43,A
2024,NC State,East Carolina,21,26,A
2024,Colorado,BYU,14,36,A
2024,Army,Louisiana Tech,27,6,H
2024,Missouri,Iowa,27,24,H
2024,Michigan,Alabama,19,13,H
2024,Washington,Louisville,34,35,A
2024,Illinois,South Carolina,21,17,H
2024,LSU,Baylor,44,31,H
2024,Boise State,Penn State,14,31,A
2024,Arizona State,Texas,31,39,A
2024,Oregon,Ohio State,21,41,A
2024,Georgia,Notre Dame,10,23,A
2024,Ole Miss,Duke,52,20,H
2024,Texas State,North Texas,30,28,H
2024,Virginia Tech,Minnesota,10,24,A
2024,Liberty,Buffalo,7,26,A
2024,Penn State,Notre Dame,24,27,A
2024,Texas,Ohio State,14,28,A
2024,Notre Dame,Ohio State,23,34,A
